Order reference,uuid_brand,brand category,carrier,ts_submitted,Order amount,fg_stock_issues,fg_on_time,fg_reception_issues,Reception Issue
O_7TZAC1H9_795,1ed6b38e-bfe3-6700-bf81-567a60de2e1c,Home & Kitchen,cogepart,2024-03-14 18:19:42.000000 UTC,€197.76,FALSE,TRUE,FALSE,OK - No Reception Issue
O_FAPWKESE_720,1ed6b38e-bfe3-6700-bf81-567a60de2e1c,Home & Kitchen,dpd,2024-01-03 11:09:58.000000 UTC,€129.60,FALSE,FALSE,FALSE,OK - No Reception Issue
O_NRW4X8D5_907,1ed6b38e-bfe3-6700-bf81-567a60de2e1c,Home & Kitchen,dpd,2024-02-21 09:54:39.000000 UTC,€364.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_THX5YHY7_530,1ed6b38e-bfe3-6700-bf81-567a60de2e1c,Home & Kitchen,dpd,2024-05-10 08:38:43.000000 UTC,€161.28,FALSE,TRUE,FALSE,OK - No Reception Issue
O_8J3VSKX8_826,1ed6b38e-bfe3-6700-bf81-567a60de2e1c,Home & Kitchen,dpd,2024-06-25 20:55:18.000000 UTC,€844.56,FALSE,TRUE,FALSE,OK - No Reception Issue
O_XSF71CNV_058,1ed6b38e-bfe3-6700-bf81-567a60de2e1c,Home & Kitchen,dpd,2024-03-06 14:59:00.000000 UTC,€493.44,FALSE,TRUE,FALSE,OK - No Reception Issue
O_3GNBG5SQ_864,1ed6b37b-a38a-6080-9443-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-01-29 09:33:41.000000 UTC,€155.80,TRUE,FALSE,FALSE,OK - No Reception Issue
O_V98F4M7R_726,1ed6b37b-a38a-6080-9443-567a60de2e1c,Home & Kitchen,cogepart,2024-05-18 10:43:34.000000 UTC,€213.12,TRUE,TRUE,FALSE,OK - No Reception Issue
O_SMF6BRAP_625,1ed6b37b-a38a-6080-9443-567a60de2e1c,Home & Kitchen,cogepart,2024-01-25 17:17:43.000000 UTC,€150.35,TRUE,FALSE,FALSE,OK - No Reception Issue
O_3J5LC27G_185,1ed6b37b-a38a-6080-9443-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-02-07 15:03:39.000000 UTC,€118.80,TRUE,TRUE,FALSE,OK - No Reception Issue
O_YTXC1QJ9_965,1ed6b37b-a38a-6080-9443-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-03-06 12:41:56.000000 UTC,€142.56,TRUE,FALSE,FALSE,OK - No Reception Issue
O_QD44PRK9_710,1ed6b37b-a38a-6080-9443-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-03-02 17:30:46.000000 UTC,€87.12,TRUE,TRUE,FALSE,OK - No Reception Issue
O_KXLV5LT6_094,1ed6b37b-a38a-6080-9443-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-05-18 15:18:00.000000 UTC,€188.36,TRUE,TRUE,FALSE,OK - No Reception Issue
O_G3NY2YR4_495,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel_first,2024-09-18 07:21:50.000000 UTC,€158.40,FALSE,TRUE,FALSE,OK - No Reception Issue
O_HLC36ZLE_788,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-06-20 06:26:21.000000 UTC,€316.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_TEREFETZ_223,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-03-29 14:53:33.000000 UTC,€237.60,FALSE,TRUE,FALSE,OK - No Reception Issue
O_ZFNSYPYB_241,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel_first,2024-09-24 14:54:48.000000 UTC,€158.40,FALSE,TRUE,FALSE,OK - No Reception Issue
O_AVNMF6B2_564,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-06-25 13:23:47.000000 UTC,€237.60,FALSE,TRUE,FALSE,OK - No Reception Issue
O_5PL8KKQ5_814,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel_first,2024-07-24 10:06:56.000000 UTC,€316.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_A423TPDQ_872,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-01-18 15:21:36.000000 UTC,€158.40,FALSE,TRUE,FALSE,OK - No Reception Issue
O_W7XMVQC2_530,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel,2024-07-06 13:20:58.000000 UTC,€396.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_H4CQF682_132,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,cogepart,2024-09-13 08:38:39.000000 UTC,€316.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_V8QCKL66_915,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel_first,2024-08-07 09:48:28.000000 UTC,€158.40,FALSE,FALSE,FALSE,OK - No Reception Issue
O_F92RTLGS_295,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,kuehne_nagel_first,2024-09-03 10:14:05.000000 UTC,€554.40,FALSE,TRUE,FALSE,OK - No Reception Issue
O_WPMW362N_032,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,cogepart,2024-01-12 12:00:41.000000 UTC,€316.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_ALJGETRN_817,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,cogepart,2024-07-13 17:00:26.000000 UTC,€237.60,FALSE,TRUE,FALSE,OK - No Reception Issue
O_SPL61J4G_579,1ed6b394-5666-6600-8e97-567a60de2e1c,Home & Kitchen,cogepart,2024-08-20 09:52:35.000000 UTC,€158.40,FALSE,TRUE,FALSE,OK - No Reception Issue
O_9ZQ44CEA_058,1ed6b391-c45d-6580-87e1-567a60de2e1c,Home & Kitchen,dpd,2024-03-12 18:35:24.000000 UTC,€221.85,FALSE,TRUE,FALSE,OK - No Reception Issue
O_ZWXDVTGJ_445,1ed6b391-c45d-6580-87e1-567a60de2e1c,Home & Kitchen,dpd,2024-03-23 18:09:48.000000 UTC,€209.88,FALSE,TRUE,FALSE,OK - No Reception Issue
O_FZYZVNKG_551,1ed6b391-c45d-6580-87e1-567a60de2e1c,Home & Kitchen,dpd,2024-01-03 16:04:34.000000 UTC,€157.41,TRUE,TRUE,FALSE,OK - No Reception Issue
O_1N2PFXQJ_196,1ed6b391-c45d-6580-87e1-567a60de2e1c,Home & Kitchen,dpd,2024-02-04 17:41:36.000000 UTC,€356.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_X5TEPFDZ_183,1ed6b391-c45d-6580-87e1-567a60de2e1c,Home & Kitchen,cogepart,2024-02-13 09:37:26.000000 UTC,€146.62,FALSE,FALSE,FALSE,OK - No Reception Issue
O_9X9L93B6_994,1ed6b391-c45d-6580-87e1-567a60de2e1c,Home & Kitchen,cogepart,2024-03-07 13:07:52.000000 UTC,€106.14,TRUE,FALSE,FALSE,OK - No Reception Issue
O_T9HMEVDV_328,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-05-22 10:17:08.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_SWMEBPE1_181,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-07-12 10:07:48.000000 UTC,€216.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_5DFPAZWZ_768,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-02-27 09:33:29.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_X1MGQYRT_969,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,ups,2024-09-12 13:27:58.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_GXPNCGH5_560,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-04-09 14:00:43.000000 UTC,€136.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_2QRB4VR3_874,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-04-16 15:55:14.000000 UTC,€246.24,FALSE,FALSE,FALSE,OK - No Reception Issue
O_QJMT2DWY_618,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-05-26 21:49:07.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_F3LZVK11_372,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-01-25 09:51:28.000000 UTC,€150.48,FALSE,FALSE,FALSE,OK - No Reception Issue
O_4775WA8E_625,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-01-25 18:30:02.000000 UTC,€145.44,FALSE,TRUE,FALSE,OK - No Reception Issue
O_BGBX17TM_929,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-03-08 17:07:19.000000 UTC,€151.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_CLHBHBXY_108,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-03-13 15:05:12.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_CJAZ5BPV_231,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-06-24 07:08:35.000000 UTC,€273.60,FALSE,TRUE,FALSE,OK - No Reception Issue
O_SF4B1HD4_365,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-07-16 12:15:56.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_Z526SXR7_953,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-03-20 15:51:31.000000 UTC,€145.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_PTYCHGV6_770,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-04-15 17:51:44.000000 UTC,€205.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_WYH3RJTP_503,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-05-23 09:15:51.000000 UTC,€187.20,FALSE,TRUE,TRUE,Damaged
O_XGFG92JE_277,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-02-14 17:38:07.000000 UTC,€230.40,FALSE,TRUE,FALSE,OK - No Reception Issue
O_7NZNKT3Q_519,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-06-18 08:53:27.000000 UTC,€189.24,FALSE,TRUE,FALSE,OK - No Reception Issue
O_T1JW7B7L_007,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-06-22 08:55:58.000000 UTC,€136.80,FALSE,FALSE,FALSE,OK - No Reception Issue
O_32KKCW2Z_359,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-08-29 14:22:08.000000 UTC,€234.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_RCCWZHV1_795,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-02-21 17:56:18.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_1BATHJ5B_311,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-07-12 08:09:56.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_XBQX9ZHP_862,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-08-21 16:31:50.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_J5AWRFPN_608,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-01-15 14:03:13.000000 UTC,€223.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_TNX31C7D_248,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-03-21 09:34:43.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_4MTAE1F1_079,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,ups,2024-09-25 14:33:58.000000 UTC,€312.00,TRUE,TRUE,FALSE,OK - No Reception Issue
O_1Q9WJBE6_672,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-08-16 15:09:24.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_N8YGDNFY_616,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-01-25 15:06:27.000000 UTC,€177.84,FALSE,TRUE,FALSE,OK - No Reception Issue
O_CMJADSZT_729,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-05-25 14:25:40.000000 UTC,€147.60,FALSE,TRUE,FALSE,OK - No Reception Issue
O_JKS9Z8PX_159,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-09-12 13:46:46.000000 UTC,€271.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_QD6EJAYD_571,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-09-05 08:32:51.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_PSHT2JLD_452,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-05-21 14:22:36.000000 UTC,€259.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_QW1L1V7C_607,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-06-21 11:06:21.000000 UTC,€148.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_V5H2CLDZ_268,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-07-19 14:00:35.000000 UTC,€127.68,FALSE,TRUE,FALSE,OK - No Reception Issue
O_G7J8NKCA_441,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-02-18 16:08:40.000000 UTC,€324.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_FQN386L1_800,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-04-16 18:59:10.000000 UTC,€189.24,FALSE,TRUE,FALSE,OK - No Reception Issue
O_GHGD8Q2S_136,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-02-03 16:03:11.000000 UTC,€183.36,FALSE,TRUE,TRUE,Missing
O_1MHP1X58_980,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-02-29 13:42:57.000000 UTC,€108.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_98XQV6Q6_219,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,ups,2024-09-28 20:15:51.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_FEB7YELW_905,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-03-11 13:45:40.000000 UTC,€298.56,FALSE,FALSE,FALSE,OK - No Reception Issue
O_A7MKXE2Y_248,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-09-03 17:26:54.000000 UTC,€239.04,FALSE,TRUE,FALSE,OK - No Reception Issue
O_Z3D8EACR_087,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-09-09 16:36:09.000000 UTC,€343.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_4GL2NN8X_647,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-02-23 16:55:18.000000 UTC,€259.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_KF42LMP4_190,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-06-25 14:47:15.000000 UTC,€328.32,FALSE,TRUE,FALSE,OK - No Reception Issue
O_4YVYWC3Q_930,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,ups,2024-09-18 10:46:38.000000 UTC,€243.00,TRUE,TRUE,FALSE,OK - No Reception Issue
O_YY1N8VK1_181,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-08-14 15:24:00.000000 UTC,€153.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_EKR7KXTD_324,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-04-08 19:34:11.000000 UTC,€216.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_CFWWJKNT_255,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,ups,2024-09-18 11:45:16.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_SZGRKYRY_494,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,ups,2024-09-12 17:47:36.000000 UTC,€156.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_L5W3FR4S_570,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-09-03 10:47:31.000000 UTC,€244.80,FALSE,TRUE,FALSE,OK - No Reception Issue
O_PF5D1XQ8_399,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-05-21 17:11:16.000000 UTC,€127.68,FALSE,TRUE,FALSE,OK - No Reception Issue
O_5HGK1BH5_593,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-06-25 20:03:55.000000 UTC,€246.24,FALSE,TRUE,FALSE,OK - No Reception Issue
O_6J238RS4_985,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-04-11 14:55:13.000000 UTC,€145.44,FALSE,TRUE,FALSE,OK - No Reception Issue
O_Z6CM578D_787,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-05-09 13:26:34.000000 UTC,€151.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_CSPTTVZ3_630,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-06-28 13:20:45.000000 UTC,€187.20,FALSE,FALSE,FALSE,OK - No Reception Issue
O_4GBJGWDZ_709,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-01-31 18:25:26.000000 UTC,€168.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_NVG2FGHW_200,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-03-16 15:10:59.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_AG2QQLWA_131,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-03-05 15:25:42.000000 UTC,€216.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_P6D3HVZ2_787,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-05-27 10:59:51.000000 UTC,€223.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_9X9VK1AC_052,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-09-11 16:41:26.000000 UTC,€239.04,FALSE,TRUE,FALSE,OK - No Reception Issue
O_SQ5P3N2E_302,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-07-18 12:25:06.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_KXLLX2YK_741,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-06-25 18:12:50.000000 UTC,€271.90,FALSE,TRUE,FALSE,OK - No Reception Issue
O_EVL9J3K6_624,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-07-16 10:46:12.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_LVZGTYFL_976,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-08-26 07:22:06.000000 UTC,€216.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_YJS1YR76_439,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,cogepart,2024-07-16 14:37:09.000000 UTC,€127.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_JQFNFLGE_022,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-02-22 08:18:24.000000 UTC,€187.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_36Z4WR4M_031,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-04-27 16:03:35.000000 UTC,€144.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_23RVCBLA_266,1ed6b37f-9ff8-6800-9eeb-567a60de2e1c,Home & Kitchen,dpd,2024-07-18 17:50:35.000000 UTC,€171.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_WDTNBSH8_902,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,cogepart,2024-03-13 15:59:42.000000 UTC,€163.64,FALSE,TRUE,FALSE,OK - No Reception Issue
O_KTQ781XJ_714,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-01-23 13:56:27.000000 UTC,€542.12,FALSE,TRUE,FALSE,OK - No Reception Issue
O_MZW6F6Z6_864,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-01-22 14:09:22.000000 UTC,€255.67,FALSE,FALSE,FALSE,OK - No Reception Issue
O_574MPNWL_064,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,cogepart,2024-06-18 14:01:47.000000 UTC,€343.13,FALSE,TRUE,FALSE,OK - No Reception Issue
O_28N5J59P_246,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-07-18 12:31:37.000000 UTC,€345.00,FALSE,FALSE,TRUE,Not received
O_8VLDXT6M_760,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-01-19 22:30:46.000000 UTC,€192.30,FALSE,FALSE,FALSE,OK - No Reception Issue
O_2ZG9MNBV_577,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-05-09 11:39:34.000000 UTC,€332.74,FALSE,TRUE,FALSE,OK - No Reception Issue
O_45CR1TH3_722,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,cogepart,2024-06-25 07:28:06.000000 UTC,€213.29,FALSE,TRUE,FALSE,OK - No Reception Issue
O_F47YR28V_138,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-02-06 15:14:17.000000 UTC,€169.10,FALSE,TRUE,FALSE,OK - No Reception Issue
O_97EL4G5Y_047,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,cogepart,2024-01-19 08:45:48.000000 UTC,€159.55,FALSE,TRUE,TRUE,Not received
O_WS7AHBGX_126,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-09-16 14:05:12.000000 UTC,€150.00,FALSE,TRUE,FALSE,OK - No Reception Issue
O_BXWRM9J5_278,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-02-26 07:16:26.000000 UTC,€136.37,FALSE,TRUE,FALSE,OK - No Reception Issue
O_LRFQDGYQ_937,1ed6b374-5fdf-6d00-8093-567a60de2e1c,Home & Kitchen,dpd,2024-01-18 11:06:35.000000 UTC,€732.97,FALSE,TRUE,FALSE,OK - No Reception Issue
