EmployeeNumber,Age,Attrition,Department,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,Gender,OverTime,PerformanceRating,JobInvolvement,JobLevel,JobRole
32,53,No,Research & Development,14,13,4,8,26,3,Female,No,3,3,5,Manager
33,32,Yes,Research & Development,10,2,6,7,10,5,Female,Yes,4,1,1,Research Scientist
35,42,No,Sales,9,7,4,2,10,2,Male,No,3,3,2,Sales Executive
36,44,No,Research & Development,22,6,5,17,24,4,Female,No,3,2,3,Healthcare Representative
38,46,No,Sales,2,2,2,1,22,2,Female,No,3,3,5,Manager
39,33,No,Research & Development,1,1,0,0,7,3,Male,No,3,3,1,Laboratory Technician
40,44,No,Research & Development,4,2,1,3,9,5,Male,Yes,3,3,2,Healthcare Representative
41,30,No,Research & Development,10,0,1,8,10,5,Male,No,3,2,1,Laboratory Technician
42,39,Yes,Sales,1,0,0,0,19,6,Male,No,3,3,2,Sales Representative
45,24,Yes,Research & Development,2,0,2,0,6,2,Male,Yes,3,3,1,Research Scientist
46,43,No,Research & Development,5,3,1,4,6,3,Female,No,3,4,1,Research Scientist
47,50,Yes,Sales,3,2,0,2,3,2,Male,Yes,3,2,1,Sales Representative
49,35,No,Sales,2,2,2,2,2,3,Female,No,3,3,1,Sales Representative
51,36,No,Research & Development,1,1,0,0,6,3,Female,Yes,3,2,1,Research Scientist
52,33,No,Sales,5,3,1,3,10,3,Female,No,3,4,2,Sales Executive
53,35,No,Research & Development,1,0,0,0,1,3,Male,No,3,3,1,Laboratory Technician
54,27,No,Research & Development,1,0,0,0,1,6,Female,No,3,3,1,Laboratory Technician
55,26,Yes,Research & Development,1,0,0,1,1,2,Male,No,3,1,1,Laboratory Technician
56,27,No,Sales,9,8,1,7,9,0,Male,No,3,3,3,Sales Executive
57,30,No,Research & Development,12,8,3,7,12,2,Female,No,4,3,2,Laboratory Technician
58,41,Yes,Research & Development,22,15,15,8,23,0,Female,No,3,3,5,Research Director
60,34,No,Sales,9,5,8,7,10,2,Male,No,4,3,2,Sales Executive
61,37,No,Research & Development,1,0,0,0,8,1,Male,No,4,3,1,Research Scientist
62,46,No,Sales,9,6,0,8,14,4,Male,Yes,4,3,2,Sales Executive
63,35,No,Research & Development,1,0,0,1,1,2,Male,No,3,4,1,Laboratory Technician
64,48,Yes,Research & Development,1,0,0,0,23,2,Male,Yes,3,2,3,Laboratory Technician
65,28,Yes,Research & Development,2,2,2,2,2,3,Male,Yes,3,3,1,Laboratory Technician
68,44,No,Sales,4,3,1,3,9,2,Female,Yes,4,3,2,Sales Executive
70,35,No,Research & Development,4,0,2,3,10,3,Male,Yes,3,2,3,Healthcare Representative
72,26,No,Sales,2,2,0,0,5,2,Female,Yes,3,2,2,Sales Executive
73,33,No,Research & Development,15,14,8,12,15,1,Female,Yes,3,3,3,Research Director
74,35,No,Sales,9,8,1,8,9,3,Male,No,4,3,3,Sales Executive
75,35,No,Research & Development,2,2,2,2,4,3,Female,Yes,3,3,1,Laboratory Technician
76,31,No,Research & Development,7,7,1,7,10,3,Male,No,4,3,2,Laboratory Technician
77,37,No,Research & Development,7,5,0,7,7,2,Male,No,3,2,2,Manufacturing Director
78,32,No,Research & Development,9,8,7,8,9,3,Male,Yes,4,3,2,Manufacturing Director
79,38,No,Research & Development,10,3,9,9,10,2,Female,No,3,3,2,Laboratory Technician
80,50,No,Research & Development,27,3,13,8,29,2,Female,Yes,3,2,5,Research Director
81,59,No,Sales,21,16,7,9,28,3,Female,No,3,3,3,Sales Executive
83,36,No,Research & Development,17,14,12,8,17,2,Female,No,3,3,3,Healthcare Representative
84,55,No,Research & Development,5,0,0,2,21,2,Female,Yes,3,3,4,Manager
85,36,No,Research & Development,6,5,0,3,6,3,Male,No,3,2,2,Manufacturing Director
86,45,No,Research & Development,1,0,0,0,25,2,Male,No,3,3,3,Research Scientist
88,35,No,Research & Development,3,2,1,2,5,2,Male,No,3,3,1,Research Scientist
90,36,Yes,Research & Development,1,0,0,0,2,0,Male,Yes,3,2,1,Research Scientist
91,59,No,Sales,4,3,1,3,20,2,Female,No,3,2,2,Sales Executive
94,29,No,Research & Development,5,4,0,4,6,3,Male,No,4,3,1,Research Scientist
95,31,No,Research & Development,1,1,1,0,1,4,Male,No,3,3,1,Research Scientist
96,32,No,Research & Development,10,4,0,9,10,3,Male,No,3,3,2,Research Scientist
97,36,No,Research & Development,1,0,0,0,5,3,Female,No,3,4,1,Laboratory Technician
98,31,No,Research & Development,11,7,1,8,11,2,Female,No,4,3,2,Manufacturing Director
100,35,No,Sales,15,13,2,8,16,2,Male,No,3,2,2,Sales Executive
101,45,No,Research & Development,0,0,0,0,17,3,Male,Yes,3,3,3,Research Director
102,37,No,Research & Development,5,2,0,2,16,3,Male,No,3,3,3,Research Director
103,46,No,Human Resources,4,2,0,2,16,2,Male,Yes,4,3,2,Human Resources
104,30,No,Research & Development,10,8,3,0,10,1,Male,Yes,3,2,2,Laboratory Technician
105,35,No,Research & Development,6,4,0,4,6,3,Male,No,3,2,1,Research Scientist
106,55,No,Sales,1,0,1,0,24,4,Male,No,3,3,3,Sales Executive
107,38,No,Research & Development,13,11,1,9,17,3,Female,Yes,3,1,2,Research Scientist
110,34,No,Research & Development,5,2,1,3,5,2,Male,No,3,3,2,Manufacturing Director
112,56,No,Research & Development,6,4,0,2,37,3,Male,No,3,1,3,Manufacturing Director
113,23,No,Sales,0,0,0,0,3,3,Male,No,3,3,1,Sales Representative
116,51,No,Research & Development,4,2,0,3,10,4,Male,No,4,3,1,Laboratory Technician
117,30,No,Research & Development,11,10,10,8,11,3,Male,No,3,2,2,Healthcare Representative
118,46,Yes,Sales,9,8,4,7,9,3,Male,No,3,2,3,Sales Executive
119,40,No,Research & Development,22,3,11,11,22,3,Male,No,4,2,4,Healthcare Representative
120,51,No,Sales,10,7,1,0,11,2,Male,Yes,4,3,2,Sales Executive
121,30,No,Sales,11,8,2,7,11,4,Female,Yes,3,2,2,Sales Executive
124,46,No,Research & Development,10,9,9,5,21,5,Male,Yes,3,2,3,Healthcare Representative
125,32,No,Sales,11,8,5,7,12,0,Male,No,3,3,2,Sales Executive
126,54,No,Research & Development,4,3,0,3,16,5,Female,No,3,3,3,Research Director
128,24,No,Sales,3,2,0,2,4,2,Female,No,4,3,2,Sales Executive
129,28,No,Sales,5,4,0,4,5,3,Male,No,3,3,2,Sales Executive
131,58,No,Sales,37,10,1,8,38,1,Male,No,3,3,4,Sales Executive
132,44,No,Research & Development,3,2,1,2,17,3,Male,No,3,3,2,Laboratory Technician
133,37,Yes,Human Resources,3,2,0,2,7,3,Male,Yes,4,3,1,Human Resources
134,32,No,Research & Development,1,0,0,0,1,2,Male,No,3,3,1,Research Scientist
137,20,Yes,Research & Development,1,0,1,0,1,5,Female,Yes,3,2,1,Laboratory Technician
138,34,No,Research & Development,16,13,2,10,16,3,Female,No,3,3,2,Research Scientist
139,37,No,Research & Development,1,0,0,0,17,2,Male,No,3,2,2,Healthcare Representative
140,59,No,Human Resources,3,2,2,2,30,3,Female,No,4,2,5,Manager
141,50,No,Research & Development,8,3,0,7,28,1,Female,Yes,3,3,5,Research Director
142,25,Yes,Sales,6,4,0,3,6,1,Male,Yes,3,2,2,Sales Executive
143,25,No,Research & Development,2,2,2,1,2,2,Male,No,3,2,1,Research Scientist
144,22,No,Research & Development,0,0,0,0,1,5,Female,No,3,3,1,Laboratory Technician
145,51,No,Research & Development,13,12,12,8,23,1,Female,No,4,2,3,Healthcare Representative
147,34,Yes,Research & Development,9,7,0,6,9,3,Male,Yes,4,1,2,Laboratory Technician
148,54,No,Human Resources,5,3,4,4,23,3,Female,Yes,3,4,4,Manager
150,24,No,Research & Development,5,3,1,2,6,2,Male,No,3,3,1,Laboratory Technician
151,34,No,Research & Development,1,0,0,0,12,3,Female,No,3,2,2,Research Scientist
152,37,No,Sales,5,3,1,3,12,3,Male,No,3,3,3,Sales Executive
153,34,No,Research & Development,11,10,5,8,14,6,Female,No,3,2,3,Manager
154,36,No,Sales,9,7,2,8,10,6,Female,No,3,3,3,Sales Executive
155,36,No,Research & Development,1,0,0,0,7,2,Female,No,4,3,1,Laboratory Technician
158,43,No,Sales,25,12,4,12,25,3,Male,Yes,3,3,4,Manager
159,30,No,Research & Development,10,7,0,9,10,2,Male,No,4,1,1,Research Scientist
160,33,No,Sales,7,7,0,7,8,2,Male,No,3,3,2,Sales Executive
161,56,Yes,Research & Development,5,4,4,3,7,2,Female,Yes,3,3,1,Research Scientist
162,51,No,Research & Development,20,18,15,15,23,5,Male,No,3,3,5,Research Director
163,31,Yes,Sales,7,7,7,7,12,3,Male,Yes,3,1,2,Sales Executive
164,26,No,Research & Development,5,4,4,3,5,3,Female,No,3,2,1,Research Scientist
165,58,Yes,Research & Development,40,10,15,6,40,3,Female,No,3,3,3,Healthcare Representative
167,19,Yes,Sales,0,0,0,0,0,2,Male,Yes,3,3,1,Sales Representative
169,22,No,Research & Development,2,1,2,1,3,2,Male,No,3,3,1,Laboratory Technician
170,49,No,Research & Development,15,11,5,11,16,2,Female,No,3,3,2,Manufacturing Director
171,43,No,Research & Development,3,2,1,2,18,2,Female,No,3,4,1,Research Scientist
174,50,No,Sales,2,2,2,1,16,3,Female,No,3,3,3,Sales Executive
175,31,Yes,Sales,2,2,2,2,4,2,Female,Yes,3,1,2,Sales Executive
176,41,No,Sales,9,7,0,7,12,2,Male,Yes,3,3,3,Sales Executive
177,26,No,Human Resources,8,7,5,7,8,3,Female,No,4,3,1,Human Resources
178,36,No,Research & Development,3,2,0,1,7,0,Male,No,4,3,2,Manufacturing Director
179,51,Yes,Research & Development,4,2,0,3,18,2,Male,No,3,1,3,Manufacturing Director
182,39,No,Sales,15,11,5,9,17,1,Female,No,3,2,2,Sales Executive
183,25,No,Sales,2,2,2,2,6,3,Male,No,3,2,2,Sales Executive
184,30,No,Human Resources,11,9,4,7,12,2,Male,Yes,3,3,2,Human Resources
190,32,Yes,Research & Development,5,4,0,4,10,2,Female,No,4,3,1,Laboratory Technician
192,45,No,Research & Development,6,5,0,3,9,2,Male,No,3,3,1,Research Scientist
193,38,No,Research & Development,3,2,2,2,19,2,Female,Yes,4,3,2,Research Scientist
194,30,No,Research & Development,5,4,0,4,5,4,Female,No,3,3,1,Research Scientist
195,32,No,Sales,8,7,0,7,9,2,Male,No,3,1,2,Sales Executive
197,30,No,Research & Development,3,2,2,2,8,3,Female,No,3,3,1,Research Scientist
198,30,No,Research & Development,5,3,1,2,6,3,Male,No,3,2,1,Laboratory Technician
199,41,No,Research & Development,7,6,7,7,21,2,Male,No,3,2,4,Manager
200,41,No,Research & Development,5,0,1,4,7,2,Male,No,4,3,1,Laboratory Technician
201,19,No,Research & Development,1,0,0,0,1,3,Female,No,3,3,1,Laboratory Technician
202,40,No,Research & Development,20,7,2,13,20,2,Female,No,3,3,2,Research Scientist
204,35,No,Sales,10,8,0,6,10,3,Male,No,3,3,3,Sales Executive
205,53,No,Sales,7,7,4,5,13,3,Male,Yes,4,3,2,Sales Representative
206,45,No,Research & Development,17,9,0,15,20,2,Male,No,3,3,2,Laboratory Technician
207,32,No,Sales,9,8,3,7,9,2,Female,No,3,3,3,Sales Executive
208,29,No,Research & Development,10,7,0,9,10,1,Male,No,3,3,2,Manufacturing Director
211,51,No,Research & Development,1,0,0,0,10,2,Male,No,3,2,2,Manufacturing Director
214,58,No,Research & Development,1,0,0,0,9,3,Female,Yes,4,2,1,Research Scientist
215,40,No,Sales,12,11,2,11,15,2,Male,No,3,2,3,Sales Executive
216,34,No,Sales,4,3,1,2,6,3,Female,No,3,3,1,Sales Representative
217,22,No,Research & Development,2,2,2,2,2,6,Male,No,4,3,1,Research Scientist
218,27,No,Research & Development,2,2,2,2,6,1,Male,No,3,3,1,Research Scientist
221,28,No,Research & Development,5,2,0,2,5,2,Male,No,3,3,1,Research Scientist
223,57,No,Research & Development,5,3,1,4,12,2,Male,Yes,3,4,3,Healthcare Representative
224,27,No,Research & Development,1,1,0,1,1,2,Male,Yes,3,2,1,Research Scientist
226,50,No,Research & Development,5,4,4,4,21,5,Female,No,3,3,5,Manager
227,41,No,Research & Development,9,8,1,8,13,2,Male,No,3,3,1,Research Scientist
228,30,No,Sales,10,9,7,4,12,2,Female,No,3,3,3,Sales Executive
230,38,No,Sales,8,3,0,7,12,2,Female,No,4,2,2,Sales Executive
231,32,No,Research & Development,5,4,1,4,8,2,Male,No,4,3,1,Research Scientist
233,27,No,Research & Development,5,2,1,1,6,3,Male,Yes,3,3,1,Research Scientist
235,19,Yes,Sales,0,0,0,0,1,5,Female,No,4,1,1,Sales Representative
238,36,No,Research & Development,8,7,7,2,13,3,Male,No,3,3,1,Laboratory Technician
239,30,No,Research & Development,12,9,6,10,12,4,Male,No,3,3,2,Laboratory Technician
240,45,No,Sales,5,4,0,3,9,3,Female,Yes,3,3,2,Sales Executive
241,56,No,Research & Development,2,2,2,2,19,3,Female,Yes,3,3,1,Research Scientist
242,33,No,Research & Development,3,1,0,2,4,2,Male,No,3,3,1,Research Scientist
243,19,Yes,Research & Development,1,0,1,0,1,3,Male,No,4,2,1,Laboratory Technician
244,46,No,Sales,24,13,15,7,24,2,Female,No,4,3,3,Sales Executive
245,38,No,Research & Development,2,2,2,1,2,3,Female,No,3,3,1,Laboratory Technician
246,31,No,Research & Development,4,2,0,2,7,0,Female,Yes,4,3,1,Research Scientist
247,34,No,Research & Development,3,2,1,2,9,3,Female,No,3,3,1,Research Scientist
248,41,Yes,Sales,4,3,0,2,4,5,Female,Yes,4,3,1,Sales Representative
249,50,No,Research & Development,3,2,0,2,5,2,Male,No,3,2,1,Laboratory Technician
250,53,No,Research & Development,4,2,1,3,5,3,Female,No,3,4,2,Manufacturing Director
252,33,No,Research & Development,8,7,1,6,8,5,Female,No,3,3,1,Research Scientist
253,40,No,Research & Development,20,8,9,9,21,2,Female,No,3,3,5,Manager
254,55,No,Research & Development,24,15,2,15,36,3,Male,No,3,4,5,Research Director
256,34,No,Research & Development,10,9,1,9,10,2,Male,No,3,2,2,Manufacturing Director
258,51,No,Research & Development,7,7,1,0,21,6,Female,No,3,3,4,Healthcare Representative
259,52,No,Research & Development,33,18,11,9,34,5,Male,No,3,2,5,Manager
260,27,No,Research & Development,7,7,0,3,7,2,Female,No,3,3,1,Research Scientist
261,35,Yes,Research & Development,1,0,0,1,8,1,Male,Yes,3,2,2,Manufacturing Director
262,43,No,Research & Development,5,4,2,2,7,3,Male,No,3,4,1,Research Scientist
264,45,No,Research & Development,20,8,11,8,22,1,Male,No,4,2,4,Manager
267,37,No,Research & Development,8,7,1,7,8,3,Male,Yes,3,4,1,Research Scientist
269,35,No,Research & Development,6,2,1,2,10,5,Female,No,3,3,2,Laboratory Technician
270,42,No,Research & Development,5,3,0,2,11,5,Female,No,3,3,2,Manufacturing Director
271,38,No,Research & Development,1,0,0,0,14,3,Male,No,3,3,2,Manufacturing Director
273,38,No,Research & Development,7,7,1,7,9,3,Male,No,3,3,2,Manufacturing Director
274,27,No,Research & Development,2,2,2,0,6,1,Male,No,3,2,2,Manufacturing Director
275,49,No,Research & Development,7,7,1,7,7,0,Male,Yes,3,3,2,Manufacturing Director
277,34,No,Research & Development,5,3,2,0,5,4,Male,Yes,3,3,1,Research Scientist
281,40,No,Research & Development,7,2,3,7,15,2,Male,Yes,3,3,2,Laboratory Technician
282,38,Yes,Research & Development,1,0,0,0,17,2,Male,Yes,3,3,2,Healthcare Representative
283,29,Yes,Sales,10,4,1,9,10,3,Female,No,4,3,3,Sales Executive
284,22,No,Research & Development,4,2,2,2,4,2,Male,Yes,3,4,1,Research Scientist
286,36,No,Research & Development,8,1,1,7,8,2,Female,No,3,3,1,Laboratory Technician
287,40,No,Research & Development,3,2,0,2,5,5,Male,No,3,2,2,Healthcare Representative
288,46,No,Research & Development,4,2,0,3,17,3,Male,No,3,3,3,Healthcare Representative
291,32,Yes,Sales,14,8,9,8,14,2,Male,No,3,1,3,Sales Executive
292,30,No,Research & Development,11,8,5,8,12,2,Male,No,4,2,3,Manufacturing Director
293,27,No,Sales,7,7,0,7,7,2,Female,No,3,3,2,Sales Executive
296,51,No,Research & Development,10,9,4,7,16,5,Male,No,3,2,3,Research Director
297,30,Yes,Research & Development,5,2,0,4,8,5,Female,Yes,3,3,1,Research Scientist
298,41,No,Sales,1,0,0,0,16,3,Female,Yes,3,3,3,Manager
299,30,Yes,Sales,6,3,0,1,9,5,Female,No,3,2,2,Sales Executive
300,29,Yes,Research & Development,6,2,1,5,7,1,Male,No,3,3,1,Research Scientist
302,45,No,Sales,19,7,12,8,23,2,Female,No,3,2,3,Sales Executive
303,54,No,Sales,6,2,0,5,16,4,Female,No,3,3,2,Sales Executive
304,36,No,Research & Development,13,11,3,7,16,3,Male,No,3,3,2,Laboratory Technician
305,33,No,Research & Development,3,2,1,1,7,3,Female,No,4,2,1,Research Scientist
306,37,No,Research & Development,10,8,0,7,10,1,Male,Yes,3,3,3,Research Director
307,38,No,Sales,16,10,5,13,17,6,Male,No,3,3,3,Sales Executive
308,31,No,Research & Development,5,4,1,4,6,2,Male,No,3,1,2,Manufacturing Director
309,59,No,Research & Development,1,0,0,0,7,6,Male,No,3,2,1,Research Scientist
311,37,No,Sales,9,8,5,8,13,2,Male,No,3,3,1,Sales Representative
312,29,No,Sales,11,10,4,1,11,5,Female,No,3,3,3,Sales Executive
314,35,No,Sales,10,7,0,8,10,3,Female,No,3,3,3,Sales Executive
315,29,Yes,Research & Development,4,3,0,1,4,3,Male,Yes,3,2,1,Research Scientist
316,52,No,Research & Development,2,2,2,2,6,3,Female,No,3,2,1,Laboratory Technician
319,42,No,Research & Development,22,17,11,15,22,3,Male,No,3,3,5,Manager
321,59,No,Human Resources,2,2,2,2,7,2,Male,No,3,3,1,Human Resources
323,50,No,Sales,7,0,0,6,32,3,Female,No,3,3,5,Manager
325,33,Yes,Research & Development,5,4,0,4,8,2,Male,Yes,3,3,1,Laboratory Technician
327,43,No,Sales,17,13,1,9,22,3,Female,Yes,4,3,4,Manager
328,33,Yes,Research & Development,9,7,1,7,13,3,Female,No,4,3,1,Laboratory Technician
329,52,No,Sales,33,7,15,12,33,2,Male,Yes,3,2,5,Manager
330,32,No,Sales,4,3,1,2,6,5,Female,No,3,3,1,Sales Representative
331,32,Yes,Research & Development,3,2,1,2,4,2,Male,Yes,3,2,1,Laboratory Technician
332,39,No,Research & Development,3,2,1,2,7,1,Female,No,3,3,1,Laboratory Technician
333,32,No,Sales,3,2,2,2,4,2,Male,No,3,3,2,Sales Executive
334,41,No,Research & Development,1,0,0,0,17,2,Male,No,3,3,2,Research Scientist
335,40,No,Research & Development,9,8,4,7,9,3,Male,No,3,3,2,Research Scientist
336,45,No,Research & Development,24,0,1,7,25,2,Male,No,3,4,5,Manager
337,31,No,Research & Development,2,2,2,2,9,3,Male,No,3,3,3,Research Director
338,33,No,Research & Development,2,2,0,2,2,2,Female,No,3,2,1,Research Scientist
339,34,No,Research & Development,11,9,5,9,13,3,Male,No,3,2,2,Manufacturing Director
340,37,No,Research & Development,3,1,0,2,17,2,Female,No,3,2,1,Research Scientist
341,45,No,Research & Development,3,2,0,2,9,1,Male,No,3,4,2,Manufacturing Director
342,37,Yes,Research & Development,1,0,0,0,17,5,Male,No,3,3,3,Manufacturing Director
343,39,No,Research & Development,19,6,11,8,20,1,Female,No,4,3,3,Healthcare Representative
346,29,No,Research & Development,6,5,1,5,6,1,Male,No,3,3,1,Research Scientist
347,42,No,Research & Development,3,2,0,2,10,1,Female,Yes,3,4,2,Research Scientist
349,29,No,Sales,3,2,0,2,10,2,Male,No,3,3,2,Sales Executive
350,25,No,Research & Development,4,2,1,2,5,3,Female,No,3,3,2,Manufacturing Director
351,42,No,Research & Development,9,6,7,8,10,4,Female,Yes,3,2,1,Laboratory Technician
352,40,No,Research & Development,21,7,3,9,22,5,Male,No,3,3,5,Research Director
353,51,No,Research & Development,1,0,0,0,1,0,Male,No,3,3,1,Research Scientist
355,31,Yes,Research & Development,5,4,1,4,6,2,Male,No,3,2,1,Laboratory Technician
359,32,No,Research & Development,5,1,0,3,5,3,Male,No,4,4,1,Laboratory Technician
361,38,No,Sales,8,7,7,5,13,0,Male,No,3,2,2,Sales Executive
362,32,No,Research & Development,6,2,0,4,9,5,Male,No,3,2,2,Laboratory Technician
363,46,No,Sales,7,7,7,7,28,2,Female,Yes,3,1,4,Manager
364,28,Yes,Research & Development,0,0,0,0,5,5,Male,No,3,3,1,Laboratory Technician
366,29,No,Sales,0,0,0,0,10,2,Male,No,3,2,2,Sales Executive
367,31,No,Research & Development,9,0,7,8,10,2,Male,No,4,2,2,Healthcare Representative
369,25,No,Research & Development,6,3,1,5,6,2,Male,No,3,4,2,Healthcare Representative
372,45,No,Research & Development,20,7,4,10,21,2,Male,Yes,3,3,4,Healthcare Representative
373,36,No,Research & Development,15,13,10,11,16,4,Male,No,3,3,1,Laboratory Technician
374,55,No,Research & Development,36,10,4,13,37,2,Male,Yes,3,3,5,Manager
376,47,Yes,Research & Development,10,7,9,9,10,2,Male,Yes,3,3,3,Manager
377,28,No,Research & Development,5,2,0,4,5,3,Male,No,4,3,1,Research Scientist
378,37,No,Sales,5,4,0,1,7,5,Male,No,3,3,2,Sales Executive
379,21,No,Research & Development,3,2,1,0,3,4,Male,No,3,2,1,Research Scientist
380,37,No,Research & Development,5,2,0,2,15,2,Female,Yes,3,3,3,Research Director
381,35,No,Research & Development,7,7,6,2,10,6,Female,No,3,4,3,Manager
382,38,No,Sales,8,0,7,7,8,3,Female,Yes,4,4,2,Sales Executive
384,26,No,Research & Development,6,5,1,4,6,6,Female,No,4,3,2,Manufacturing Director
385,50,No,Research & Development,10,4,1,6,28,4,Male,No,3,3,5,Research Director
386,53,No,Research & Development,5,3,1,3,21,5,Male,Yes,3,3,4,Research Director
387,42,No,Sales,20,16,11,6,20,3,Male,No,4,3,2,Sales Executive
388,29,No,Sales,10,7,0,9,10,3,Male,No,3,3,2,Sales Executive
389,55,No,Research & Development,10,7,0,8,12,4,Male,Yes,3,3,2,Laboratory Technician
390,26,No,Research & Development,5,3,3,3,5,3,Male,Yes,3,3,2,Healthcare Representative
391,37,No,Research & Development,17,12,5,7,17,3,Female,No,3,3,1,Research Scientist
392,44,Yes,Research & Development,1,0,0,0,19,0,Male,Yes,4,3,1,Laboratory Technician
393,38,No,Research & Development,2,2,1,2,10,2,Male,No,3,3,2,Healthcare Representative
394,26,Yes,Research & Development,3,2,0,2,5,2,Male,Yes,3,3,1,Laboratory Technician
395,28,No,Research & Development,5,3,0,2,5,3,Female,No,4,3,1,Research Scientist
396,49,No,Research & Development,3,2,1,2,22,4,Female,Yes,3,3,5,Research Director
397,36,No,Research & Development,8,0,7,7,10,2,Male,No,3,3,2,Research Scientist
399,31,No,Sales,2,2,2,2,2,5,Female,No,3,3,1,Sales Representative
401,26,Yes,Sales,8,7,7,4,8,0,Male,Yes,3,2,2,Sales Executive
403,37,No,Research & Development,4,2,1,2,4,3,Male,Yes,3,3,1,Research Scientist
404,42,No,Sales,20,4,4,8,23,2,Female,No,3,3,4,Sales Executive
405,18,Yes,Research & Development,0,0,0,0,0,2,Male,No,3,3,1,Laboratory Technician
406,35,No,Sales,11,9,6,9,12,3,Male,No,3,3,3,Sales Executive
407,36,No,Research & Development,1,0,0,0,4,2,Male,No,3,4,1,Laboratory Technician
408,51,No,Research & Development,4,1,1,2,13,3,Male,No,3,1,2,Manufacturing Director
410,41,No,Sales,22,10,0,4,22,2,Male,No,3,3,4,Manager
411,18,No,Sales,0,0,0,0,0,2,Female,No,3,2,1,Sales Representative
412,28,No,Research & Development,8,3,0,7,9,2,Male,No,3,4,2,Healthcare Representative
416,31,No,Sales,8,7,7,7,10,3,Male,No,3,4,2,Sales Executive
417,39,No,Research & Development,18,10,3,7,19,5,Male,No,3,4,3,Healthcare Representative
419,36,No,Research & Development,9,8,0,8,11,3,Female,No,3,3,2,Laboratory Technician
420,32,No,Sales,13,8,4,8,13,3,Male,No,3,2,2,Sales Executive
421,38,No,Research & Development,10,8,0,1,19,2,Female,No,3,2,3,Research Director
422,58,No,Research & Development,5,3,1,2,12,2,Male,Yes,3,1,2,Healthcare Representative
423,31,No,Research & Development,5,2,0,3,6,4,Male,Yes,3,3,1,Research Scientist
424,31,No,Human Resources,2,2,1,0,9,1,Male,No,3,2,2,Human Resources
425,45,No,Research & Development,24,9,9,11,24,2,Male,No,3,3,3,Laboratory Technician
426,31,No,Research & Development,2,2,2,2,3,2,Male,Yes,3,3,1,Research Scientist
428,33,No,Research & Development,10,6,8,8,12,2,Female,No,3,3,3,Manager
429,39,No,Research & Development,21,9,11,10,21,3,Male,Yes,3,3,4,Manager
430,43,No,Research & Development,8,7,1,7,9,5,Female,No,3,3,1,Laboratory Technician
431,49,No,Research & Development,7,1,0,7,25,2,Female,Yes,3,2,4,Healthcare Representative
433,52,Yes,Research & Development,8,2,7,7,11,3,Male,No,3,2,2,Research Scientist
434,27,No,Research & Development,4,3,1,2,4,2,Female,Yes,3,3,1,Research Scientist
436,32,No,Sales,13,12,11,9,13,2,Female,Yes,3,2,2,Sales Executive
437,27,No,Sales,5,4,0,4,5,3,Male,Yes,3,3,2,Sales Executive
