,workstationgroupid,workstationid,tranid,start,opid,opstat
56,1,7,17120710607269,2017-12-07T11:51:44,146,OperatorSignOn
57,1,2,171207106022,2017-12-07T12:00:24,10,OperatorSignOn
58,1,2,171207106024,2017-12-07T12:00:15,10,OperatorSignOff
59,1,8,17120710608121,2017-12-07T12:02:56,606,OperatorSignOff
60,1,8,17120710608123,2017-12-07T12:03:34,140,OperatorSignOn
61,1,3,171207106036,2017-12-07T12:03:45,127,OperatorSignOn
62,1,3,171207106038,2017-12-07T12:03:56,127,OperatorSignOff
63,1,6,1712071060610,2017-12-07T12:05:20,127,OperatorSignOn
64,8,18,171207106018163,2017-12-07T12:09:51,268,OperatorSignOff
65,8,18,171207106018165,2017-12-07T12:10:18,268,OperatorSignOn
66,1,23,171207106023109,2017-12-07T12:15:27,385,OperatorLock
67,1,23,171207106023110,2017-12-07T12:15:57,385,OperatorUnLock
68,1,8,17120710608150,2017-12-07T12:24:29,140,OperatorSignOff
69,1,4,17120710604257,2017-12-07T12:27:33,123,OperatorSignOff
70,1,4,17120710604259,2017-12-07T12:28:07,140,OperatorSignOn
71,1,6,1712071060638,2017-12-07T12:34:34,127,OperatorLock
72,1,6,1712071060639,2017-12-07T12:35:58,127,OperatorUnLock
73,1,1,171207106012,2017-12-07T12:42:05,10,OperatorSignOn
74,1,1,171207106014,2017-12-07T12:42:15,10,OperatorSignOff
75,1,20,171207106020319,2017-12-07T12:44:14,315,OperatorSignOff
76,1,20,171207106020321,2017-12-07T12:44:52,143,OperatorSignOn
77,1,5,17120710605117,2017-12-07T12:51:29,316,OperatorSignOff
78,1,6,1712071060670,2017-12-07T12:56:20,127,OperatorSignOff
79,1,21,171207106021239,2017-12-07T12:57:20,108,OperatorSignOff
80,1,21,171207106021241,2017-12-07T12:57:51,127,OperatorSignOn
81,1,6,1712071060672,2017-12-07T13:00:20,10,OperatorSignOn
82,1,6,1712071060674,2017-12-07T13:00:33,10,OperatorSignOff
83,1,23,171207106023164,2017-12-07T13:00:53,385,OperatorLock
84,1,23,171207106023165,2017-12-07T13:00:59,385,OperatorUnLock
85,1,3,1712071060310,2017-12-07T13:01:00,10,OperatorSignOn
86,1,3,1712071060312,2017-12-07T13:01:12,10,OperatorSignOff
87,1,8,17120710608152,2017-12-07T13:01:21,10,OperatorSignOn
88,1,20,171207106020341,2017-12-07T13:01:32,143,OperatorSignOff
89,1,8,17120710608154,2017-12-07T13:01:34,10,OperatorSignOff
90,1,20,171207106020343,2017-12-07T13:02:16,119,OperatorSignOn
91,1,11,17120710601146,2017-12-07T13:03:26,10,OperatorSignOn
92,1,8,17120710608156,2017-12-07T13:03:23,114,OperatorSignOn
93,1,12,171207106012425,2017-12-07T13:04:07,115,OperatorSignOff
94,1,11,17120710601148,2017-12-07T13:04:05,10,OperatorSignOff
95,1,12,171207106012427,2017-12-07T13:05:25,123,OperatorSignOn
96,1,11,17120710601150,2017-12-07T13:05:21,115,OperatorSignOn
97,1,4,17120710604305,2017-12-07T13:07:51,140,OperatorLock
98,1,4,17120710604306,2017-12-07T13:08:20,140,OperatorUnLock
99,1,23,171207106023175,2017-12-07T13:08:14,385,OperatorSignOff
100,1,23,171207106023177,2017-12-07T13:08:38,10,OperatorSignOn
101,1,23,171207106023179,2017-12-07T13:09:52,10,OperatorLock
102,1,8,17120710608179,2017-12-07T13:21:30,114,OperatorLock
103,1,8,17120710608180,2017-12-07T13:22:27,114,OperatorUnLock
104,1,21,171207106021274,2017-12-07T13:22:52,127,OperatorSignOff
105,1,8,17120710608182,2017-12-07T13:23:04,114,OperatorLock
106,1,8,17120710608183,2017-12-07T13:23:37,114,OperatorUnLock
107,1,4,17120710604328,2017-12-07T13:24:43,140,OperatorLock
108,1,4,17120710604329,2017-12-07T13:26:45,140,OperatorUnLock
109,1,4,17120710604331,2017-12-07T13:27:24,140,OperatorLock
110,1,4,17120710604332,2017-12-07T13:29:28,140,OperatorUnLock
111,1,8,17120710608189,2017-12-07T13:29:22,114,OperatorSignOff
112,1,21,171207106021276,2017-12-07T13:31:34,127,OperatorSignOn
113,1,2,171207106026,2017-12-07T13:31:37,143,OperatorSignOn
114,1,13,171207106013374,2017-12-07T13:32:22,120,OperatorSignOff
115,1,2,171207106028,2017-12-07T13:31:53,143,OperatorSignOff
116,1,1,171207106016,2017-12-07T13:32:06,143,OperatorSignOn
117,1,13,171207106013376,2017-12-07T13:32:46,114,OperatorSignOn
118,1,1,171207106018,2017-12-07T13:32:18,143,OperatorSignOff
119,1,5,17120710605119,2017-12-07T13:34:32,143,OperatorSignOn
120,1,5,17120710605121,2017-12-07T13:34:43,143,OperatorSignOff
121,1,23,171207106023180,2017-12-07T13:35:39,10,OperatorUnLock
122,1,23,171207106023181,2017-12-07T13:35:42,10,OperatorSignOff
123,1,8,17120710608191,2017-12-07T13:42:55,10,OperatorSignOn
124,1,8,17120710608193,2017-12-07T13:43:09,10,OperatorSignOff
125,1,6,1712071060676,2017-12-07T13:49:19,10,OperatorSignOn
126,1,6,1712071060678,2017-12-07T13:49:33,10,OperatorSignOff
127,1,11,171207106011109,2017-12-07T13:52:01,115,OperatorSignOff
128,1,11,171207106011111,2017-12-07T13:52:24,108,OperatorSignOn
129,1,4,17120710604355,2017-12-07T13:53:08,140,OperatorLock
130,1,4,17120710604356,2017-12-07T13:53:27,140,OperatorUnLock
131,1,13,171207106013410,2017-12-07T13:56:50,114,OperatorSignOff
132,1,12,171207106012482,2017-12-07T13:58:41,123,OperatorSignOff
133,1,12,171207106012484,2017-12-07T13:59:19,114,OperatorSignOn
134,1,4,17120710604370,2017-12-07T14:03:54,140,OperatorLock
135,1,13,171207106013412,2017-12-07T14:05:01,131,OperatorSignOn
136,1,4,17120710604371,2017-12-07T14:05:13,140,OperatorUnLock
137,1,4,17120710604374,2017-12-07T14:07:16,140,OperatorSignOff
138,1,3,1712071060314,2017-12-07T14:15:18,10,OperatorSignOn
139,1,3,1712071060316,2017-12-07T14:15:30,10,OperatorSignOff
140,1,7,17120710607454,2017-12-07T14:17:52,146,OperatorLock
141,1,21,171207106021341,2017-12-07T14:18:56,127,OperatorLock
142,1,7,17120710607455,2017-12-07T14:19:35,146,OperatorUnLock
143,1,21,171207106021342,2017-12-07T14:19:51,127,OperatorUnLock
144,1,21,171207106021344,2017-12-07T14:21:07,127,OperatorSignOff
145,1,21,171207106021346,2017-12-07T14:21:40,128,OperatorSignOn
146,1,22,171207106022460,2017-12-07T14:22:42,110,OperatorSignOff
147,1,22,171207106022462,2017-12-07T14:23:11,101,OperatorSignOn
148,1,8,17120710608195,2017-12-07T14:28:53,10,OperatorSignOn
149,1,8,17120710608197,2017-12-07T14:30:18,10,OperatorSignOff
150,1,8,17120710608199,2017-12-07T14:30:41,120,OperatorSignOn
151,1,4,17120710604376,2017-12-07T14:46:29,140,OperatorSignOn
152,1,8,17120710608237,2017-12-07T15:00:51,120,OperatorSignOff
153,1,22,171207106022506,2017-12-07T15:04:20,101,OperatorLock
154,1,22,171207106022507,2017-12-07T15:04:57,101,OperatorUnLock
155,1,22,171207106022509,2017-12-07T15:05:47,101,OperatorLock
156,1,7,17120710607515,2017-12-07T15:06:59,146,OperatorSignOff
157,1,22,171207106022510,2017-12-07T15:06:58,101,OperatorUnLock
158,1,12,171207106012574,2017-12-07T15:08:54,114,OperatorLock
159,1,22,171207106022512,2017-12-07T15:09:20,101,OperatorLock
160,1,12,171207106012575,2017-12-07T15:10:24,114,OperatorUnLock
161,1,22,171207106022513,2017-12-07T15:10:12,101,OperatorUnLock
162,1,4,17120710604400,2017-12-07T15:10:36,140,OperatorLock
163,1,12,171207106012579,2017-12-07T15:11:38,114,OperatorLock
164,1,4,17120710604401,2017-12-07T15:11:36,140,OperatorUnLock
165,1,12,171207106012580,2017-12-07T15:12:06,114,OperatorUnLock
166,1,4,17120710604409,2017-12-07T15:15:45,140,OperatorLock
167,1,4,17120710604410,2017-12-07T15:16:59,140,OperatorUnLock
168,1,4,17120710604413,2017-12-07T15:18:19,140,OperatorLock
169,1,21,171207106021413,2017-12-07T15:21:13,128,OperatorLock
170,1,12,171207106012593,2017-12-07T15:22:23,114,OperatorSignOff
171,1,21,171207106021414,2017-12-07T15:22:01,128,OperatorUnLock
172,1,7,17120710607517,2017-12-07T15:39:29,605,OperatorSignOn
173,1,4,17120710604414,2017-12-07T15:40:26,140,OperatorUnLock
174,1,21,171207106021449,2017-12-07T15:51:39,128,OperatorLock
175,1,21,171207106021450,2017-12-07T15:52:29,128,OperatorUnLock
176,1,12,171207106012595,2017-12-07T15:53:22,114,OperatorSignOn
177,1,12,171207106012597,2017-12-07T15:53:33,114,OperatorSignOff
178,1,20,171207106020510,2017-12-07T15:53:58,119,OperatorSignOff
179,1,20,171207106020512,2017-12-07T15:54:27,114,OperatorSignOn
180,1,5,17120710605123,2017-12-07T15:57:18,600,OperatorSignOn
181,1,22,171207106022600,2017-12-07T16:15:53,101,OperatorLock
182,1,22,171207106022601,2017-12-07T16:17:02,101,OperatorUnLock
183,1,6,1712071060680,2017-12-07T16:25:12,119,OperatorSignOn
184,1,6,1712071060682,2017-12-07T16:25:24,119,OperatorSignOff
185,1,22,171207106022613,2017-12-07T16:28:05,101,OperatorSignOff
186,1,22,171207106022615,2017-12-07T16:29:03,119,OperatorSignOn
187,1,5,17120710605163,2017-12-07T16:31:54,600,OperatorSignOff
188,1,4,17120710604477,2017-12-07T16:39:16,140,OperatorLock
189,1,4,17120710604478,2017-12-07T16:44:42,140,OperatorUnLock
190,1,4,17120710604482,2017-12-07T16:46:35,140,OperatorLock
191,1,4,17120710604483,2017-12-07T16:47:58,140,OperatorUnLock
192,1,6,1712071060684,2017-12-07T17:00:55,10,OperatorSignOn
193,1,6,1712071060686,2017-12-07T17:01:06,10,OperatorSignOff
194,1,12,171207106012599,2017-12-07T17:07:38,101,OperatorSignOn
195,1,12,171207106012602,2017-12-07T17:08:55,101,OperatorLock
196,1,12,171207106012603,2017-12-07T17:10:50,101,OperatorUnLock
197,1,13,171207106013663,2017-12-07T17:14:05,131,OperatorSignOff
198,1,21,171207106021552,2017-12-07T17:29:33,128,OperatorLock
199,1,21,171207106021553,2017-12-07T17:30:03,128,OperatorUnLock
200,1,5,17120710605165,2017-12-07T17:30:08,600,OperatorSignOn
201,1,13,171207106013665,2017-12-07T17:48:39,131,OperatorSignOn
202,1,12,171207106012653,2017-12-07T17:52:51,101,OperatorLock
203,1,12,171207106012654,2017-12-07T17:55:04,101,OperatorUnLock
204,1,5,17120710605204,2017-12-07T17:58:14,600,OperatorSignOff
205,1,5,17120710605206,2017-12-07T17:59:37,10,OperatorSignOn
206,1,5,17120710605208,2017-12-07T17:59:47,10,OperatorSignOff
207,1,11,171207106011411,2017-12-07T18:00:59,108,OperatorSignOff
208,1,11,171207106011413,2017-12-07T18:01:55,600,OperatorSignOn
209,1,4,17120710604559,2017-12-07T18:06:23,140,OperatorLock
210,1,4,17120710604560,2017-12-07T18:07:47,140,OperatorUnLock
211,1,4,17120710604563,2017-12-07T18:08:45,140,OperatorLock
212,1,4,17120710604564,2017-12-07T18:09:51,140,OperatorUnLock
213,1,21,171207106021600,2017-12-07T18:12:15,128,OperatorSignOff
214,1,12,171207106012681,2017-12-07T18:16:49,101,OperatorLock
215,1,12,171207106012682,2017-12-07T18:17:54,101,OperatorUnLock
216,1,4,17120710604575,2017-12-07T18:17:52,140,OperatorLock
217,1,4,17120710604576,2017-12-07T18:18:32,140,OperatorUnLock
218,1,12,171207106012686,2017-12-07T18:21:54,101,OperatorLock
219,1,4,17120710604584,2017-12-07T18:23:29,140,OperatorLock
220,1,12,171207106012687,2017-12-07T18:23:45,101,OperatorUnLock
221,1,13,171207106013717,2017-12-07T18:24:26,131,OperatorLock
222,1,13,171207106013718,2017-12-07T18:25:30,131,OperatorUnLock
223,1,7,17120710607716,2017-12-07T18:25:37,605,OperatorSignOff
224,1,4,17120710604585,2017-12-07T18:25:45,140,OperatorUnLock
225,1,11,171207106011446,2017-12-07T18:28:33,600,OperatorLock
226,1,11,171207106011447,2017-12-07T18:30:25,600,OperatorUnLock
227,1,4,17120710604593,2017-12-07T18:31:16,140,OperatorLock
228,1,4,17120710604594,2017-12-07T18:36:51,140,OperatorUnLock
229,1,21,171207106021602,2017-12-07T18:45:07,128,OperatorSignOn
230,1,21,171207106021633,2017-12-07T19:13:12,128,OperatorLock
231,1,8,17120710608239,2017-12-07T19:19:11,10,OperatorSignOn
232,1,8,17120710608241,2017-12-07T19:19:23,10,OperatorSignOff
233,1,21,171207106021634,2017-12-07T19:24:25,128,OperatorUnLock
234,1,7,17120710607718,2017-12-07T19:28:25,605,OperatorSignOn
235,1,8,17120710608243,2017-12-07T19:31:11,102,OperatorSignOn
236,1,4,17120710604644,2017-12-07T19:37:19,140,OperatorLock
237,1,4,17120710604645,2017-12-07T19:37:39,140,OperatorUnLock
238,1,12,171207106012787,2017-12-07T19:38:10,101,OperatorLock
239,1,4,17120710604647,2017-12-07T19:38:19,140,OperatorLock
240,1,12,171207106012788,2017-12-07T19:38:32,101,OperatorUnLock
241,1,11,171207106011510,2017-12-07T19:38:13,600,OperatorSignOff
242,1,4,17120710604648,2017-12-07T19:38:28,140,OperatorUnLock
243,1,4,17120710604650,2017-12-07T19:38:33,140,OperatorLock
244,1,7,17120710607730,2017-12-07T19:40:23,605,OperatorSignOff
245,1,8,17120710608255,2017-12-07T19:40:07,102,OperatorSignOff
246,1,4,17120710604651,2017-12-07T19:40:52,140,OperatorUnLock
247,1,4,17120710604655,2017-12-07T19:44:52,140,OperatorLock
248,1,4,17120710604656,2017-12-07T19:47:30,140,OperatorUnLock
249,1,22,171207106022829,2017-12-07T19:47:58,119,OperatorLock
250,1,22,171207106022830,2017-12-07T19:48:40,119,OperatorUnLock
251,1,4,17120710604660,2017-12-07T19:48:57,140,OperatorLock
252,1,4,17120710604661,2017-12-07T19:49:37,140,OperatorUnLock
253,1,4,17120710604662,2017-12-07T19:49:41,140,OperatorSignOff
254,1,4,17120710604664,2017-12-07T19:50:49,10,OperatorSignOn
255,1,4,17120710604666,2017-12-07T19:50:59,10,OperatorSignOff
256,1,21,171207106021665,2017-12-07T19:51:11,128,OperatorLock
257,1,21,171207106021666,2017-12-07T19:52:16,128,OperatorUnLock
258,1,12,171207106012810,2017-12-07T19:55:16,101,OperatorLock
259,1,22,171207106022840,2017-12-07T19:55:54,119,OperatorLock
260,1,22,171207106022841,2017-12-07T19:56:36,119,OperatorUnLock
261,1,12,171207106012811,2017-12-07T19:57:02,101,OperatorUnLock
262,1,22,171207106022842,2017-12-07T19:56:40,119,OperatorSignOff
263,1,12,171207106012812,2017-12-07T19:57:05,101,OperatorSignOff
264,1,22,171207106022844,2017-12-07T20:01:01,119,OperatorSignOn
265,1,12,171207106012814,2017-12-07T20:06:32,101,OperatorSignOn
266,1,13,171207106013849,2017-12-07T20:10:05,131,OperatorLock
267,1,22,171207106022861,2017-12-07T20:16:36,119,OperatorLock
268,1,13,171207106013850,2017-12-07T20:17:46,131,OperatorUnLock
269,1,22,171207106022862,2017-12-07T20:17:29,119,OperatorUnLock
270,1,22,171207106022866,2017-12-07T20:19:08,119,OperatorSignOff
271,1,8,17120710608257,2017-12-07T20:22:28,605,OperatorSignOn
272,1,8,17120710608259,2017-12-07T20:22:39,605,OperatorSignOff
273,1,11,171207106011512,2017-12-07T20:24:48,10,OperatorSignOn
274,1,11,171207106011514,2017-12-07T20:24:59,10,OperatorSignOff
275,1,12,171207106012839,2017-12-07T20:26:18,101,OperatorSignOff
276,1,21,171207106021700,2017-12-07T20:26:46,128,OperatorLock
277,1,21,171207106021701,2017-12-07T20:30:11,128,OperatorUnLock
278,1,22,171207106022868,2017-12-07T20:38:45,10,OperatorSignOn
279,1,22,171207106022870,2017-12-07T20:38:57,10,OperatorSignOff
280,1,7,17120710607732,2017-12-07T20:41:35,10,OperatorSignOn
281,1,7,17120710607734,2017-12-07T20:42:09,10,OperatorSignOff
282,1,11,171207106011516,2017-12-07T20:42:57,600,OperatorSignOn
283,1,12,171207106012841,2017-12-07T20:48:48,10,OperatorSignOn
284,1,12,171207106012843,2017-12-07T20:51:09,10,OperatorLock
285,1,20,171207106020846,2017-12-07T20:53:24,114,OperatorSignOff
286,1,20,171207106020848,2017-12-07T20:53:51,101,OperatorSignOn
287,1,21,171207106021746,2017-12-07T21:06:09,128,OperatorLock
288,1,13,171207106013919,2017-12-07T21:08:30,131,OperatorLock
289,1,11,171207106011547,2017-12-07T21:08:15,600,OperatorLock
290,1,11,171207106011548,2017-12-07T21:08:31,600,OperatorUnLock
291,1,13,171207106013920,2017-12-07T21:09:11,131,OperatorUnLock
292,1,21,171207106021747,2017-12-07T21:11:05,128,OperatorUnLock
293,1,11,171207106011554,2017-12-07T21:14:32,600,OperatorSignOff
294,1,21,171207106021749,2017-12-07T21:14:33,128,OperatorLock
295,1,21,171207106021750,2017-12-07T21:15:10,128,OperatorUnLock
296,8,17,171207106017424,2017-12-07T21:16:05,267,OperatorSignOff
297,8,18,171207106018497,2017-12-07T21:18:12,268,OperatorSignOff
298,1,11,171207106011556,2017-12-07T21:40:55,600,OperatorSignOn
299,1,11,171207106011569,2017-12-07T21:47:54,600,OperatorSignOff
300,8,15,171207106015557,2017-12-07T21:57:28,265,OperatorSignOff
301,8,16,171207106016521,2017-12-07T21:57:54,266,OperatorSignOff
302,8,14,171207106014611,2017-12-07T21:59:13,264,OperatorSignOff
303,1,20,171207106020926,2017-12-07T22:00:31,101,OperatorSignOff
304,1,13,171207106013985,2017-12-07T22:03:25,131,OperatorSignOff
305,1,21,171207106021832,2017-12-07T22:14:33,128,OperatorSignOff
306,8,17,1712081060172,2017-12-08T06:20:36,267,OperatorSignOn
307,8,18,1712081060182,2017-12-08T06:20:10,268,OperatorSignOn
308,8,14,1712081060142,2017-12-08T06:20:10,264,OperatorSignOn
309,8,15,1712081060152,2017-12-08T06:20:26,265,OperatorSignOn
310,8,16,1712081060162,2017-12-08T06:21:37,266,OperatorSignOn
311,1,20,1712081060202,2017-12-08T07:03:23,120,OperatorSignOn
312,1,13,1712081060132,2017-12-08T07:03:17,146,OperatorSignOn
313,1,13,1712081060135,2017-12-08T07:04:45,146,OperatorLock
314,1,13,1712081060136,2017-12-08T07:06:05,146,OperatorUnLock
315,1,13,1712081060137,2017-12-08T07:06:08,146,OperatorSignOff
316,1,13,1712081060139,2017-12-08T07:11:18,146,OperatorSignOn
317,1,13,17120810601312,2017-12-08T07:12:48,146,OperatorLock
318,1,13,17120810601313,2017-12-08T07:13:09,146,OperatorUnLock
319,1,12,1712081060122,2017-12-08T07:15:58,108,OperatorSignOn
320,1,7,171208106072,2017-12-08T07:27:22,126,OperatorSignOn
321,1,22,1712081060222,2017-12-08T07:28:05,110,OperatorSignOn
322,1,7,171208106075,2017-12-08T07:33:23,126,OperatorSignOff
323,1,12,17120810601240,2017-12-08T07:48:13,108,OperatorSignOff
324,1,22,17120810602234,2017-12-08T07:54:27,110,OperatorLock
325,1,22,17120810602235,2017-12-08T08:02:30,110,OperatorUnLock
326,1,21,1712081060212,2017-12-08T08:05:23,140,OperatorSignOn
327,1,5,171208106052,2017-12-08T08:06:25,123,OperatorSignOn
328,1,12,17120810601242,2017-12-08T08:11:19,108,OperatorSignOn
329,1,22,17120810602248,2017-12-08T08:16:39,110,OperatorLock
330,1,7,171208106077,2017-12-08T08:16:50,126,OperatorSignOn
331,1,20,17120810602082,2017-12-08T08:18:16,120,OperatorSignOff
332,1,12,17120810601256,2017-12-08T08:23:20,108,OperatorSignOff
333,1,7,1712081060723,2017-12-08T08:27:01,126,OperatorLock
334,1,7,1712081060724,2017-12-08T08:27:18,126,OperatorUnLock
335,1,5,1712081060519,2017-12-08T08:28:25,123,OperatorLock
336,1,5,1712081060520,2017-12-08T08:32:03,123,OperatorUnLock
337,1,12,17120810601258,2017-12-08T08:33:12,108,OperatorSignOn
338,1,20,17120810602084,2017-12-08T08:36:39,120,OperatorSignOn
339,1,22,17120810602249,2017-12-08T08:43:02,110,OperatorUnLock
340,1,7,1712081060750,2017-12-08T08:45:05,126,OperatorSignOff
341,1,12,17120810601272,2017-12-08T08:46:00,108,OperatorSignOff
342,1,5,1712081060534,2017-12-08T08:46:50,123,OperatorSignOff
343,1,13,171208106013127,2017-12-08T08:46:07,146,OperatorSignOff
344,8,17,17120810601750,2017-12-08T08:55:19,267,OperatorSignOff
345,1,5,1712081060536,2017-12-08T08:55:58,123,OperatorSignOn
346,1,12,17120810601274,2017-12-08T08:55:15,108,OperatorSignOn
347,1,13,171208106013129,2017-12-08T09:05:49,146,OperatorSignOn
348,8,17,17120810601752,2017-12-08T09:15:13,267,OperatorSignOn
349,8,17,17120810601754,2017-12-08T09:28:18,267,OperatorSignOff
350,1,5,1712081060578,2017-12-08T09:29:54,123,OperatorLock
351,1,5,1712081060579,2017-12-08T09:32:22,123,OperatorUnLock
352,1,22,17120810602298,2017-12-08T09:32:01,110,OperatorLock
353,1,21,17120810602188,2017-12-08T09:33:11,140,OperatorLock
354,1,21,17120810602189,2017-12-08T09:33:45,140,OperatorUnLock
355,8,17,17120810601756,2017-12-08T09:35:20,267,OperatorSignOn
356,1,22,17120810602299,2017-12-08T09:37:52,110,OperatorUnLock
357,1,13,171208106013174,2017-12-08T09:44:05,146,OperatorSignOff
358,1,4,171208106042,2017-12-08T10:00:53,115,OperatorSignOn
359,1,6,171208106062,2017-12-08T10:02:39,606,OperatorSignOn
360,1,6,1712081060611,2017-12-08T10:08:02,606,OperatorLock
361,1,6,1712081060612,2017-12-08T10:08:07,606,OperatorUnLock
362,1,6,1712081060627,2017-12-08T10:17:19,606,OperatorSignOff
363,1,22,171208106022141,2017-12-08T10:19:33,110,OperatorSignOff
364,1,6,1712081060629,2017-12-08T10:25:21,606,OperatorSignOn
365,1,4,1712081060436,2017-12-08T10:28:44,115,OperatorLock
366,1,4,1712081060437,2017-12-08T10:29:30,115,OperatorUnLock
367,1,8,171208106082,2017-12-08T10:33:40,107,OperatorSignOn
368,1,7,1712081060752,2017-12-08T10:34:20,126,OperatorSignOn
369,1,6,1712081060650,2017-12-08T10:43:01,606,OperatorSignOff
370,1,22,171208106022143,2017-12-08T10:50:16,110,OperatorSignOn
371,1,22,171208106022145,2017-12-08T10:50:30,110,OperatorSignOff
372,1,13,171208106013176,2017-12-08T10:51:14,146,OperatorSignOn
373,1,20,171208106020236,2017-12-08T10:51:33,120,OperatorSignOff
374,1,20,171208106020238,2017-12-08T10:52:03,110,OperatorSignOn
375,1,6,1712081060652,2017-12-08T10:55:30,606,OperatorSignOn
376,1,12,171208106012213,2017-12-08T10:55:21,108,OperatorSignOff
377,1,13,171208106013190,2017-12-08T11:00:13,146,OperatorLock
378,1,4,1712081060483,2017-12-08T11:00:42,115,OperatorLock
379,1,4,1712081060484,2017-12-08T11:00:49,115,OperatorUnLock
380,1,4,1712081060486,2017-12-08T11:01:11,115,OperatorLock
381,1,4,1712081060487,2017-12-08T11:01:45,115,OperatorUnLock
382,1,13,171208106013191,2017-12-08T11:01:58,146,OperatorUnLock
383,1,5,17120810605170,2017-12-08T11:07:52,123,OperatorSignOff
384,1,6,1712081060676,2017-12-08T11:08:39,606,OperatorLock
385,1,6,1712081060677,2017-12-08T11:09:19,606,OperatorUnLock
386,8,17,17120810601791,2017-12-08T11:18:52,267,OperatorSignOff
387,8,17,17120810601793,2017-12-08T11:19:20,267,OperatorSignOn
388,1,22,171208106022147,2017-12-08T11:26:44,120,OperatorSignOn
389,1,12,171208106012215,2017-12-08T11:29:06,108,OperatorSignOn
390,1,4,17120810604122,2017-12-08T11:31:42,115,OperatorLock
391,1,4,17120810604123,2017-12-08T11:32:11,115,OperatorUnLock
