,EmployeeNumber,Age,Attrition,Department,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,Gender,OverTime,PerformanceRating,JobInvolvement,JobLevel,JobRole
120,159,30,No,Research & Development,10,7,0,9,10,2,Male,No,4,1,1,Research Scientist
121,160,33,No,Sales,7,7,0,7,8,2,Male,No,3,3,2,Sales Executive
122,161,56,Yes,Research & Development,5,4,4,3,7,2,Female,Yes,3,3,1,Research Scientist
123,162,51,No,Research & Development,20,18,15,15,23,5,Male,No,3,3,5,Research Director
124,163,31,Yes,Sales,7,7,7,7,12,3,Male,Yes,3,1,2,Sales Executive
125,164,26,No,Research & Development,5,4,4,3,5,3,Female,No,3,2,1,Research Scientist
126,165,58,Yes,Research & Development,40,10,15,6,40,3,Female,No,3,3,3,Healthcare Representative
127,167,19,Yes,Sales,0,0,0,0,0,2,Male,Yes,3,3,1,Sales Representative
128,169,22,No,Research & Development,2,1,2,1,3,2,Male,No,3,3,1,Laboratory Technician
129,170,49,No,Research & Development,15,11,5,11,16,2,Female,No,3,3,2,Manufacturing Director
130,171,43,No,Research & Development,3,2,1,2,18,2,Female,No,3,4,1,Research Scientist
131,174,50,No,Sales,2,2,2,1,16,3,Female,No,3,3,3,Sales Executive
132,175,31,Yes,Sales,2,2,2,2,4,2,Female,Yes,3,1,2,Sales Executive
133,176,41,No,Sales,9,7,0,7,12,2,Male,Yes,3,3,3,Sales Executive
134,177,26,No,Human Resources,8,7,5,7,8,3,Female,No,4,3,1,Human Resources
135,178,36,No,Research & Development,3,2,0,1,7,0,Male,No,4,3,2,Manufacturing Director
136,179,51,Yes,Research & Development,4,2,0,3,18,2,Male,No,3,1,3,Manufacturing Director
137,182,39,No,Sales,15,11,5,9,17,1,Female,No,3,2,2,Sales Executive
138,183,25,No,Sales,2,2,2,2,6,3,Male,No,3,2,2,Sales Executive
139,184,30,No,Human Resources,11,9,4,7,12,2,Male,Yes,3,3,2,Human Resources
140,190,32,Yes,Research & Development,5,4,0,4,10,2,Female,No,4,3,1,Laboratory Technician
141,192,45,No,Research & Development,6,5,0,3,9,2,Male,No,3,3,1,Research Scientist
142,193,38,No,Research & Development,3,2,2,2,19,2,Female,Yes,4,3,2,Research Scientist
143,194,30,No,Research & Development,5,4,0,4,5,4,Female,No,3,3,1,Research Scientist
144,195,32,No,Sales,8,7,0,7,9,2,Male,No,3,1,2,Sales Executive
145,197,30,No,Research & Development,3,2,2,2,8,3,Female,No,3,3,1,Research Scientist
146,198,30,No,Research & Development,5,3,1,2,6,3,Male,No,3,2,1,Laboratory Technician
147,199,41,No,Research & Development,7,6,7,7,21,2,Male,No,3,2,4,Manager
148,200,41,No,Research & Development,5,0,1,4,7,2,Male,No,4,3,1,Laboratory Technician
149,201,19,No,Research & Development,1,0,0,0,1,3,Female,No,3,3,1,Laboratory Technician
150,202,40,No,Research & Development,20,7,2,13,20,2,Female,No,3,3,2,Research Scientist
151,204,35,No,Sales,10,8,0,6,10,3,Male,No,3,3,3,Sales Executive
152,205,53,No,Sales,7,7,4,5,13,3,Male,Yes,4,3,2,Sales Representative
153,206,45,No,Research & Development,17,9,0,15,20,2,Male,No,3,3,2,Laboratory Technician
154,207,32,No,Sales,9,8,3,7,9,2,Female,No,3,3,3,Sales Executive
155,208,29,No,Research & Development,10,7,0,9,10,1,Male,No,3,3,2,Manufacturing Director
156,211,51,No,Research & Development,1,0,0,0,10,2,Male,No,3,2,2,Manufacturing Director
157,214,58,No,Research & Development,1,0,0,0,9,3,Female,Yes,4,2,1,Research Scientist
158,215,40,No,Sales,12,11,2,11,15,2,Male,No,3,2,3,Sales Executive
159,216,34,No,Sales,4,3,1,2,6,3,Female,No,3,3,1,Sales Representative
160,217,22,No,Research & Development,2,2,2,2,2,6,Male,No,4,3,1,Research Scientist
161,218,27,No,Research & Development,2,2,2,2,6,1,Male,No,3,3,1,Research Scientist
162,221,28,No,Research & Development,5,2,0,2,5,2,Male,No,3,3,1,Research Scientist
163,223,57,No,Research & Development,5,3,1,4,12,2,Male,Yes,3,4,3,Healthcare Representative
164,224,27,No,Research & Development,1,1,0,1,1,2,Male,Yes,3,2,1,Research Scientist
165,226,50,No,Research & Development,5,4,4,4,21,5,Female,No,3,3,5,Manager
166,227,41,No,Research & Development,9,8,1,8,13,2,Male,No,3,3,1,Research Scientist
167,228,30,No,Sales,10,9,7,4,12,2,Female,No,3,3,3,Sales Executive
168,230,38,No,Sales,8,3,0,7,12,2,Female,No,4,2,2,Sales Executive
169,231,32,No,Research & Development,5,4,1,4,8,2,Male,No,4,3,1,Research Scientist
170,233,27,No,Research & Development,5,2,1,1,6,3,Male,Yes,3,3,1,Research Scientist
171,235,19,Yes,Sales,0,0,0,0,1,5,Female,No,4,1,1,Sales Representative
172,238,36,No,Research & Development,8,7,7,2,13,3,Male,No,3,3,1,Laboratory Technician
173,239,30,No,Research & Development,12,9,6,10,12,4,Male,No,3,3,2,Laboratory Technician
174,240,45,No,Sales,5,4,0,3,9,3,Female,Yes,3,3,2,Sales Executive
175,241,56,No,Research & Development,2,2,2,2,19,3,Female,Yes,3,3,1,Research Scientist
176,242,33,No,Research & Development,3,1,0,2,4,2,Male,No,3,3,1,Research Scientist
177,243,19,Yes,Research & Development,1,0,1,0,1,3,Male,No,4,2,1,Laboratory Technician
178,244,46,No,Sales,24,13,15,7,24,2,Female,No,4,3,3,Sales Executive
179,245,38,No,Research & Development,2,2,2,1,2,3,Female,No,3,3,1,Laboratory Technician
180,246,31,No,Research & Development,4,2,0,2,7,0,Female,Yes,4,3,1,Research Scientist
181,247,34,No,Research & Development,3,2,1,2,9,3,Female,No,3,3,1,Research Scientist
182,248,41,Yes,Sales,4,3,0,2,4,5,Female,Yes,4,3,1,Sales Representative
183,249,50,No,Research & Development,3,2,0,2,5,2,Male,No,3,2,1,Laboratory Technician
184,250,53,No,Research & Development,4,2,1,3,5,3,Female,No,3,4,2,Manufacturing Director
185,252,33,No,Research & Development,8,7,1,6,8,5,Female,No,3,3,1,Research Scientist
186,253,40,No,Research & Development,20,8,9,9,21,2,Female,No,3,3,5,Manager
187,254,55,No,Research & Development,24,15,2,15,36,3,Male,No,3,4,5,Research Director
188,256,34,No,Research & Development,10,9,1,9,10,2,Male,No,3,2,2,Manufacturing Director
189,258,51,No,Research & Development,7,7,1,0,21,6,Female,No,3,3,4,Healthcare Representative
190,259,52,No,Research & Development,33,18,11,9,34,5,Male,No,3,2,5,Manager
191,260,27,No,Research & Development,7,7,0,3,7,2,Female,No,3,3,1,Research Scientist
192,261,35,Yes,Research & Development,1,0,0,1,8,1,Male,Yes,3,2,2,Manufacturing Director
193,262,43,No,Research & Development,5,4,2,2,7,3,Male,No,3,4,1,Research Scientist
194,264,45,No,Research & Development,20,8,11,8,22,1,Male,No,4,2,4,Manager
195,267,37,No,Research & Development,8,7,1,7,8,3,Male,Yes,3,4,1,Research Scientist
196,269,35,No,Research & Development,6,2,1,2,10,5,Female,No,3,3,2,Laboratory Technician
197,270,42,No,Research & Development,5,3,0,2,11,5,Female,No,3,3,2,Manufacturing Director
198,271,38,No,Research & Development,1,0,0,0,14,3,Male,No,3,3,2,Manufacturing Director
199,273,38,No,Research & Development,7,7,1,7,9,3,Male,No,3,3,2,Manufacturing Director
200,274,27,No,Research & Development,2,2,2,0,6,1,Male,No,3,2,2,Manufacturing Director
201,275,49,No,Research & Development,7,7,1,7,7,0,Male,Yes,3,3,2,Manufacturing Director
202,277,34,No,Research & Development,5,3,2,0,5,4,Male,Yes,3,3,1,Research Scientist
203,281,40,No,Research & Development,7,2,3,7,15,2,Male,Yes,3,3,2,Laboratory Technician
204,282,38,Yes,Research & Development,1,0,0,0,17,2,Male,Yes,3,3,2,Healthcare Representative
205,283,29,Yes,Sales,10,4,1,9,10,3,Female,No,4,3,3,Sales Executive
206,284,22,No,Research & Development,4,2,2,2,4,2,Male,Yes,3,4,1,Research Scientist
207,286,36,No,Research & Development,8,1,1,7,8,2,Female,No,3,3,1,Laboratory Technician
208,287,40,No,Research & Development,3,2,0,2,5,5,Male,No,3,2,2,Healthcare Representative
209,288,46,No,Research & Development,4,2,0,3,17,3,Male,No,3,3,3,Healthcare Representative
210,291,32,Yes,Sales,14,8,9,8,14,2,Male,No,3,1,3,Sales Executive
211,292,30,No,Research & Development,11,8,5,8,12,2,Male,No,4,2,3,Manufacturing Director
212,293,27,No,Sales,7,7,0,7,7,2,Female,No,3,3,2,Sales Executive
213,296,51,No,Research & Development,10,9,4,7,16,5,Male,No,3,2,3,Research Director
214,297,30,Yes,Research & Development,5,2,0,4,8,5,Female,Yes,3,3,1,Research Scientist
215,298,41,No,Sales,1,0,0,0,16,3,Female,Yes,3,3,3,Manager
216,299,30,Yes,Sales,6,3,0,1,9,5,Female,No,3,2,2,Sales Executive
217,300,29,Yes,Research & Development,6,2,1,5,7,1,Male,No,3,3,1,Research Scientist
218,302,45,No,Sales,19,7,12,8,23,2,Female,No,3,2,3,Sales Executive
219,303,54,No,Sales,6,2,0,5,16,4,Female,No,3,3,2,Sales Executive
220,304,36,No,Research & Development,13,11,3,7,16,3,Male,No,3,3,2,Laboratory Technician
221,305,33,No,Research & Development,3,2,1,1,7,3,Female,No,4,2,1,Research Scientist
222,306,37,No,Research & Development,10,8,0,7,10,1,Male,Yes,3,3,3,Research Director
223,307,38,No,Sales,16,10,5,13,17,6,Male,No,3,3,3,Sales Executive
224,308,31,No,Research & Development,5,4,1,4,6,2,Male,No,3,1,2,Manufacturing Director
225,309,59,No,Research & Development,1,0,0,0,7,6,Male,No,3,2,1,Research Scientist
226,311,37,No,Sales,9,8,5,8,13,2,Male,No,3,3,1,Sales Representative
227,312,29,No,Sales,11,10,4,1,11,5,Female,No,3,3,3,Sales Executive
228,314,35,No,Sales,10,7,0,8,10,3,Female,No,3,3,3,Sales Executive
229,315,29,Yes,Research & Development,4,3,0,1,4,3,Male,Yes,3,2,1,Research Scientist
230,316,52,No,Research & Development,2,2,2,2,6,3,Female,No,3,2,1,Laboratory Technician
231,319,42,No,Research & Development,22,17,11,15,22,3,Male,No,3,3,5,Manager
232,321,59,No,Human Resources,2,2,2,2,7,2,Male,No,3,3,1,Human Resources
233,323,50,No,Sales,7,0,0,6,32,3,Female,No,3,3,5,Manager
234,325,33,Yes,Research & Development,5,4,0,4,8,2,Male,Yes,3,3,1,Laboratory Technician
235,327,43,No,Sales,17,13,1,9,22,3,Female,Yes,4,3,4,Manager
236,328,33,Yes,Research & Development,9,7,1,7,13,3,Female,No,4,3,1,Laboratory Technician
237,329,52,No,Sales,33,7,15,12,33,2,Male,Yes,3,2,5,Manager
238,330,32,No,Sales,4,3,1,2,6,5,Female,No,3,3,1,Sales Representative
239,331,32,Yes,Research & Development,3,2,1,2,4,2,Male,Yes,3,2,1,Laboratory Technician
240,332,39,No,Research & Development,3,2,1,2,7,1,Female,No,3,3,1,Laboratory Technician
241,333,32,No,Sales,3,2,2,2,4,2,Male,No,3,3,2,Sales Executive
242,334,41,No,Research & Development,1,0,0,0,17,2,Male,No,3,3,2,Research Scientist
243,335,40,No,Research & Development,9,8,4,7,9,3,Male,No,3,3,2,Research Scientist
244,336,45,No,Research & Development,24,0,1,7,25,2,Male,No,3,4,5,Manager
245,337,31,No,Research & Development,2,2,2,2,9,3,Male,No,3,3,3,Research Director
246,338,33,No,Research & Development,2,2,0,2,2,2,Female,No,3,2,1,Research Scientist
247,339,34,No,Research & Development,11,9,5,9,13,3,Male,No,3,2,2,Manufacturing Director
248,340,37,No,Research & Development,3,1,0,2,17,2,Female,No,3,2,1,Research Scientist
249,341,45,No,Research & Development,3,2,0,2,9,1,Male,No,3,4,2,Manufacturing Director
250,342,37,Yes,Research & Development,1,0,0,0,17,5,Male,No,3,3,3,Manufacturing Director
251,343,39,No,Research & Development,19,6,11,8,20,1,Female,No,4,3,3,Healthcare Representative
252,346,29,No,Research & Development,6,5,1,5,6,1,Male,No,3,3,1,Research Scientist
253,347,42,No,Research & Development,3,2,0,2,10,1,Female,Yes,3,4,2,Research Scientist
254,349,29,No,Sales,3,2,0,2,10,2,Male,No,3,3,2,Sales Executive
255,350,25,No,Research & Development,4,2,1,2,5,3,Female,No,3,3,2,Manufacturing Director
256,351,42,No,Research & Development,9,6,7,8,10,4,Female,Yes,3,2,1,Laboratory Technician
257,352,40,No,Research & Development,21,7,3,9,22,5,Male,No,3,3,5,Research Director
258,353,51,No,Research & Development,1,0,0,0,1,0,Male,No,3,3,1,Research Scientist
259,355,31,Yes,Research & Development,5,4,1,4,6,2,Male,No,3,2,1,Laboratory Technician
260,359,32,No,Research & Development,5,1,0,3,5,3,Male,No,4,4,1,Laboratory Technician
261,361,38,No,Sales,8,7,7,5,13,0,Male,No,3,2,2,Sales Executive
262,362,32,No,Research & Development,6,2,0,4,9,5,Male,No,3,2,2,Laboratory Technician
263,363,46,No,Sales,7,7,7,7,28,2,Female,Yes,3,1,4,Manager
264,364,28,Yes,Research & Development,0,0,0,0,5,5,Male,No,3,3,1,Laboratory Technician
265,366,29,No,Sales,0,0,0,0,10,2,Male,No,3,2,2,Sales Executive
266,367,31,No,Research & Development,9,0,7,8,10,2,Male,No,4,2,2,Healthcare Representative
267,369,25,No,Research & Development,6,3,1,5,6,2,Male,No,3,4,2,Healthcare Representative
268,372,45,No,Research & Development,20,7,4,10,21,2,Male,Yes,3,3,4,Healthcare Representative
269,373,36,No,Research & Development,15,13,10,11,16,4,Male,No,3,3,1,Laboratory Technician
270,374,55,No,Research & Development,36,10,4,13,37,2,Male,Yes,3,3,5,Manager
271,376,47,Yes,Research & Development,10,7,9,9,10,2,Male,Yes,3,3,3,Manager
272,377,28,No,Research & Development,5,2,0,4,5,3,Male,No,4,3,1,Research Scientist
273,378,37,No,Sales,5,4,0,1,7,5,Male,No,3,3,2,Sales Executive
274,379,21,No,Research & Development,3,2,1,0,3,4,Male,No,3,2,1,Research Scientist
275,380,37,No,Research & Development,5,2,0,2,15,2,Female,Yes,3,3,3,Research Director
276,381,35,No,Research & Development,7,7,6,2,10,6,Female,No,3,4,3,Manager
277,382,38,No,Sales,8,0,7,7,8,3,Female,Yes,4,4,2,Sales Executive
278,384,26,No,Research & Development,6,5,1,4,6,6,Female,No,4,3,2,Manufacturing Director
279,385,50,No,Research & Development,10,4,1,6,28,4,Male,No,3,3,5,Research Director
280,386,53,No,Research & Development,5,3,1,3,21,5,Male,Yes,3,3,4,Research Director
281,387,42,No,Sales,20,16,11,6,20,3,Male,No,4,3,2,Sales Executive
282,388,29,No,Sales,10,7,0,9,10,3,Male,No,3,3,2,Sales Executive
283,389,55,No,Research & Development,10,7,0,8,12,4,Male,Yes,3,3,2,Laboratory Technician
284,390,26,No,Research & Development,5,3,3,3,5,3,Male,Yes,3,3,2,Healthcare Representative
285,391,37,No,Research & Development,17,12,5,7,17,3,Female,No,3,3,1,Research Scientist
286,392,44,Yes,Research & Development,1,0,0,0,19,0,Male,Yes,4,3,1,Laboratory Technician
287,393,38,No,Research & Development,2,2,1,2,10,2,Male,No,3,3,2,Healthcare Representative
288,394,26,Yes,Research & Development,3,2,0,2,5,2,Male,Yes,3,3,1,Laboratory Technician
289,395,28,No,Research & Development,5,3,0,2,5,3,Female,No,4,3,1,Research Scientist
290,396,49,No,Research & Development,3,2,1,2,22,4,Female,Yes,3,3,5,Research Director
291,397,36,No,Research & Development,8,0,7,7,10,2,Male,No,3,3,2,Research Scientist
292,399,31,No,Sales,2,2,2,2,2,5,Female,No,3,3,1,Sales Representative
293,401,26,Yes,Sales,8,7,7,4,8,0,Male,Yes,3,2,2,Sales Executive
294,403,37,No,Research & Development,4,2,1,2,4,3,Male,Yes,3,3,1,Research Scientist
295,404,42,No,Sales,20,4,4,8,23,2,Female,No,3,3,4,Sales Executive
296,405,18,Yes,Research & Development,0,0,0,0,0,2,Male,No,3,3,1,Laboratory Technician
297,406,35,No,Sales,11,9,6,9,12,3,Male,No,3,3,3,Sales Executive
298,407,36,No,Research & Development,1,0,0,0,4,2,Male,No,3,4,1,Laboratory Technician
299,408,51,No,Research & Development,4,1,1,2,13,3,Male,No,3,1,2,Manufacturing Director
300,410,41,No,Sales,22,10,0,4,22,2,Male,No,3,3,4,Manager
301,411,18,No,Sales,0,0,0,0,0,2,Female,No,3,2,1,Sales Representative
302,412,28,No,Research & Development,8,3,0,7,9,2,Male,No,3,4,2,Healthcare Representative
303,416,31,No,Sales,8,7,7,7,10,3,Male,No,3,4,2,Sales Executive
304,417,39,No,Research & Development,18,10,3,7,19,5,Male,No,3,4,3,Healthcare Representative
305,419,36,No,Research & Development,9,8,0,8,11,3,Female,No,3,3,2,Laboratory Technician
306,420,32,No,Sales,13,8,4,8,13,3,Male,No,3,2,2,Sales Executive
