,EmployeeNumber,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike
98,131,682,37,24409,13872,13
99,132,489,67,25043,2042,12
100,133,807,63,23648,2073,22
101,134,827,71,15178,2956,13
102,137,871,66,19783,2926,18
103,138,665,41,12482,4809,14
104,139,1040,100,15850,5163,14
105,140,1420,32,21922,18844,21
106,141,1115,73,9755,18172,19
107,142,240,46,26959,5744,11
108,143,1280,64,26897,2889,11
109,144,534,59,23785,2871,15
110,145,1456,30,25796,7484,20
111,147,658,66,22887,6074,24
112,148,142,30,13871,17328,12
113,150,1127,52,13257,2774,12
114,151,1031,45,15000,4505,15
115,152,1189,87,14506,7428,12
116,153,1354,45,5615,11631,12
117,154,1467,92,22952,9738,14
118,155,922,39,2561,2835,22
119,158,394,92,19494,16959,12
120,159,1312,96,22310,2613,25
121,160,750,95,15480,6146,13
122,161,441,72,4510,4963,18
123,162,684,51,6462,19537,13
124,163,249,76,20739,6172,18
125,164,841,46,23300,2368,19
126,165,147,94,3465,10312,12
127,167,528,50,26820,1675,19
128,169,594,100,19299,2523,14
129,170,470,96,5549,6567,14
130,171,957,72,16090,4739,12
131,174,809,77,6645,9208,11
132,175,542,71,24788,4559,11
133,176,802,96,21196,8189,13
134,177,1355,61,8916,2942,23
135,178,216,84,2819,4941,20
136,179,1150,53,25150,10650,15
137,182,1329,47,14590,5902,14
138,183,959,41,24835,8639,18
139,184,1240,48,13982,6347,19
140,190,1033,41,10224,4200,22
141,192,1316,83,9752,3452,13
142,193,364,32,2302,4317,20
143,194,438,75,23910,2632,14
144,195,689,35,22812,4668,17
145,197,201,84,10415,3204,14
146,198,1427,35,11162,2720,13
147,199,857,91,12888,17181,13
148,200,933,94,6961,2238,21
149,201,1181,79,16102,1483,14
150,202,1395,54,8504,5605,11
151,204,662,94,11439,7295,13
152,205,1436,34,16047,2306,20
153,206,194,60,10901,2348,18
154,207,967,43,15589,8998,14
155,208,1496,41,26283,4319,13
156,211,1169,34,13983,6132,17
157,214,1145,75,11873,3346,20
158,215,630,67,8552,10855,11
159,216,303,75,11314,2231,18
160,217,1256,80,11992,2323,24
161,218,691,57,5970,2024,18
162,221,440,42,6672,2713,11
163,223,334,83,23402,9439,16
164,224,1450,79,25326,2566,15
165,226,1452,53,17053,19926,15
166,227,465,56,4609,2451,12
167,228,1339,41,8053,9419,12
168,230,702,59,12930,8686,22
169,231,120,43,12430,3038,20
170,233,1157,51,13364,3058,16
171,235,602,100,20989,2325,21
172,238,1480,30,15062,2088,12
173,239,111,66,11012,3072,11
174,240,1268,30,6319,5006,11
175,241,713,67,13939,4257,18
176,242,134,90,10515,2500,14
177,243,303,47,9241,1102,22
178,244,526,92,2137,10453,25
179,245,1380,75,6319,2288,12
180,246,140,95,6984,3929,23
181,247,629,95,5711,2311,15
182,248,1356,70,21728,3140,22
183,249,328,86,3425,3690,15
184,250,1084,57,26250,4450,11
185,252,931,72,4673,2756,13
186,253,989,46,6499,19033,14
187,254,692,61,13339,18722,11
188,256,1069,45,14074,9547,17
189,258,313,98,7192,13734,18
190,259,699,65,5678,19999,14
191,260,894,99,11781,2279,16
192,261,556,50,15497,5916,13
193,262,1344,37,5228,2089,14
194,264,1195,65,20462,16792,23
195,267,290,65,22977,3564,12
196,269,138,37,15986,4425,11
197,270,926,36,16439,5265,16
198,271,1261,88,7259,6553,14
199,273,1084,54,4185,6261,18
200,274,472,60,9679,4298,19
201,275,1002,92,23793,6804,15
202,277,878,43,5972,3815,17
203,281,905,99,16523,2741,15
204,282,1180,70,11354,6673,19
205,283,121,35,24525,7639,22
206,284,1136,60,12392,2328,16
207,286,635,73,7703,2153,13
208,287,1151,63,14242,4876,14
209,288,644,97,12368,9396,16
210,291,1045,32,25812,10400,11
211,292,829,88,20925,8474,22
212,293,1242,90,12916,9981,14
213,296,1469,81,15736,12490,16
214,297,1005,88,8556,2657,11
215,298,896,75,14674,13591,18
216,299,334,52,22967,6696,15
217,300,992,85,19757,2058,14
218,302,1052,57,16840,8865,12
219,303,1147,52,17011,5940,14
220,304,1396,62,9945,5914,16
221,305,147,47,13248,2622,21
222,306,663,47,10056,12185,14
223,307,119,76,9647,10609,12
224,308,979,90,4381,4345,12
225,309,142,70,8456,2177,17
226,311,319,41,2539,2793,17
227,312,1413,42,6599,7918,14
228,314,944,92,9096,8789,14
229,315,896,86,14961,2389,13
230,316,1323,89,3300,3212,15
231,319,532,58,4933,19232,11
232,321,818,52,25657,2267,17
233,323,854,68,24118,19517,11
234,325,813,58,22149,2436,13
235,327,1034,80,7744,16064,22
236,328,465,39,21509,2707,20
237,329,771,79,21030,19068,18
238,330,1401,56,20990,3931,11
239,331,515,62,9571,3730,14
240,332,1431,96,15417,2232,14
241,333,976,100,12069,4465,18
242,334,1411,36,19877,3072,16
243,335,1300,62,24447,3319,17
244,336,252,70,15970,19202,11
245,337,1327,73,13523,13675,12
246,338,832,63,14776,2911,13
247,339,470,84,23687,5957,13
248,340,1017,83,18697,3920,14
249,341,1199,77,5118,6434,17
250,342,504,61,22573,10048,11
251,343,505,64,6420,10938,25
252,346,665,60,22673,2340,19
253,347,916,82,23016,6545,13
254,349,1247,45,10732,6931,14
255,350,685,62,7505,4898,12
256,351,269,56,8007,2593,11
257,352,1416,49,5949,19436,19
258,353,833,96,23231,2723,11
259,355,307,71,11652,3479,11
260,359,1311,100,26062,2794,20
261,361,1327,39,19682,5249,18
262,362,128,84,19737,2176,13
263,363,488,75,14977,16872,12
264,364,529,79,14935,3485,11
265,366,1210,78,3687,6644,19
266,367,1463,64,14408,5582,21
267,369,675,85,18384,4000,12
268,372,1385,79,7501,13496,14
269,373,1403,47,20251,3210,11
270,374,452,81,18938,19045,14
271,376,666,88,10268,11849,12
272,377,1158,94,2613,2070,23
273,378,228,98,22825,6502,14
274,379,996,100,10531,3230,17
275,380,728,80,11677,13603,18
276,381,1315,71,19100,11996,18
277,382,322,44,19191,5605,24
278,384,1479,84,26767,6397,20
279,385,797,96,15815,19144,14
280,386,1070,45,21016,17584,16
281,387,635,99,24532,4907,25
282,388,442,44,20260,4554,18
283,389,147,37,15972,5415,19
284,390,496,60,22722,4741,13
285,391,1372,42,15881,2115,12
286,392,920,43,19920,3161,22
287,393,688,82,18899,5745,14
288,394,1449,45,14180,2373,13
289,395,1117,66,4488,3310,21
290,396,636,35,25594,18665,11
291,397,506,30,26285,4485,12
292,399,444,84,3909,2789,11
293,401,950,48,8450,5828,12
294,403,889,53,11411,2326,12
295,404,555,77,14864,13525,14
296,405,230,54,25233,1420,13
297,406,1232,96,5100,8020,15
298,407,566,81,7122,3688,18
299,408,1302,84,16321,5482,18
300,410,334,88,15896,16015,19
301,411,812,69,9724,1200,12
302,412,1476,68,4824,5661,19
303,416,218,100,12241,6929,11
304,417,1132,48,10942,9613,17
305,419,1105,47,6927,5674,15
306,420,906,91,16985,5484,14
307,421,849,81,26707,12061,17
308,422,390,32,17056,5660,13
309,423,691,86,10077,4821,12
310,424,106,62,17822,6410,12
311,425,1249,97,20308,5210,18
312,426,192,32,7747,2695,18
313,428,553,74,23364,11878,11
314,429,117,99,5355,17068,14
315,430,185,33,10675,2455,19
316,431,1091,90,17810,13964,12
317,433,723,85,17747,4941,15
318,434,1220,85,20938,2478,12
319,436,588,65,24624,5228,11
320,437,1377,74,5242,4478,11
321,438,691,73,7143,7547,12
322,439,1018,74,10557,5055,16
323,440,1157,84,24737,3464,13
324,441,1275,64,11934,5775,13
325,442,798,48,14034,8943,24
326,444,672,54,21141,19272,15
327,445,1162,41,17778,5238,18
328,446,508,46,4317,4682,14
329,447,1482,42,16375,18300,11
330,448,559,82,6227,5257,11
331,449,210,73,22107,6349,13
332,450,928,31,16885,4869,12
333,451,1001,43,9262,9985,16
334,452,549,75,9278,3697,14
335,453,1124,57,13273,7457,22
336,454,318,77,4759,2119,11
337,455,738,30,7621,3983,17
338,456,570,30,5431,6118,13
339,458,1130,56,3415,6214,18
340,460,1192,61,23177,6347,16
341,461,343,92,15682,11510,14
342,462,1232,39,25713,7143,14
343,463,144,39,11866,8268,14
344,464,1296,62,18264,8095,13
345,465,1309,83,16092,2904,12
346,466,483,95,10110,6032,15
347,467,1309,99,25751,2976,19
348,468,810,44,15901,15992,14
349,469,746,61,16928,4649,14
350,470,544,52,24017,2696,11
351,471,1062,75,3956,2370,13
352,473,530,91,23978,12504,21
353,474,1319,51,17001,5974,13
354,475,641,85,6069,4736,12
355,476,933,57,20156,5296,17
356,477,1332,98,17078,6781,23
357,478,756,99,9150,2174,11
358,479,845,45,15276,6653,15
359,481,541,48,7246,9699,11
360,482,593,88,2967,6755,11
361,483,1171,46,22495,2213,13
362,484,895,39,2851,2610,24
363,485,350,34,9150,2851,13
364,486,921,98,17663,3452,20
365,487,1144,30,16044,5258,14
366,488,143,56,9558,9355,18
367,491,1046,100,2755,10496,15
368,492,575,68,6110,6380,12
369,493,408,42,7551,2657,16
370,494,156,90,25422,2716,15
371,495,1283,54,18168,2201,16
372,496,755,97,19394,6540,19
373,497,1469,82,17881,3816,11
374,498,304,92,20750,5253,16
375,499,1261,31,12066,10965,24
376,500,1178,87,14862,4936,11
377,501,329,96,11868,2543,13
378,502,1362,67,4652,5304,13
379,505,1311,97,23258,16659,13
380,507,1371,77,5915,4260,12
381,508,202,72,17434,2476,18
382,510,575,73,6582,3102,22
383,511,253,43,24440,2244,13
384,513,164,61,3809,7596,13
385,514,464,40,3427,2285,23
386,515,1107,95,26914,3034,12
387,516,759,46,22553,5715,12
388,517,201,95,20490,2576,16
389,518,1305,49,21123,4197,12
390,520,982,59,4345,14336,11
391,521,555,78,13436,3448,22
392,522,821,86,8509,19406,11
393,523,1381,72,12740,6538,15
394,524,480,31,4156,4306,12
395,525,313,61,15238,2258,20
396,526,1473,74,2227,4522,14
397,527,891,99,12090,4487,11
398,529,1063,72,23866,4449,15
399,530,329,98,16193,2218,12
400,531,1218,52,8213,19197,14
401,532,906,86,18256,13212,11
402,533,1082,83,19558,6577,11
403,534,645,49,19566,8392,16
404,536,1300,79,13535,4558,12
405,538,688,91,9396,4031,13
406,543,319,39,19609,7969,14
407,544,192,69,9655,2654,21
408,546,1490,30,10310,16555,13
409,547,532,92,12932,4556,11
410,548,317,43,24793,6091,20
411,549,422,41,3854,19566,11
412,550,1485,87,26314,4810,14
413,551,1368,88,4386,4523,11
414,554,1448,62,21972,3202,16
415,555,296,33,12253,2351,16
416,556,1490,42,12106,1702,23
417,558,1398,79,13022,18041,14
418,560,1349,90,3032,2886,22
419,562,1400,53,16734,2097,15
420,564,986,93,21526,11935,18
421,565,408,71,18300,2546,16
422,566,489,52,18437,2564,12
423,567,1398,69,2890,8412,11
424,568,210,56,22102,14118,12
425,569,1099,88,9314,17046,15
426,571,1116,49,7181,2564,14
427,573,1499,80,2845,10266,19
428,574,983,65,7389,5070,13
429,575,1009,51,2288,17861,13
430,577,144,46,19225,4230,15
431,578,548,42,23428,3780,11
432,579,1303,62,8416,2768,12
433,580,1125,94,11563,9071,19
434,581,1274,33,14394,10648,25
435,582,1277,56,24619,13610,12
436,584,587,38,6705,3408,13
437,585,413,57,18398,2983,14
438,586,1276,72,14295,7632,12
439,587,534,66,22908,9824,12
440,590,988,43,11533,9950,15
441,591,1474,97,9260,2093,17
442,592,635,32,15318,9980,14
443,593,1368,99,9129,3894,16
444,595,163,37,19658,4051,14
445,597,1117,83,9873,16835,23
446,599,267,56,13430,6230,14
447,600,619,85,18659,4717,11
448,601,302,75,20364,13237,15
449,602,443,48,17872,3755,11
450,604,828,77,8346,6582,13
451,605,319,56,6950,7406,21
452,606,561,61,16177,4805,19
453,608,426,58,22808,2741,11
454,611,232,34,22645,4262,12
455,612,922,95,22578,16184,19
456,613,688,44,25291,11557,21
457,614,1306,69,8059,1878,14
458,615,1094,58,11373,10932,15
459,616,509,62,2112,6811,17
460,618,775,45,4267,4306,12
461,620,195,80,6698,4859,16
462,621,258,74,19921,5337,12
463,622,471,66,23213,2340,18
464,623,799,59,23848,7491,17
465,624,1034,86,8984,10527,11
466,625,1276,91,5626,16595,16
467,626,142,69,24666,8834,13
468,630,956,78,22087,5577,12
469,631,1474,60,23914,4707,12
470,632,535,38,5530,2400,13
471,634,1495,76,22174,9824,19
472,635,446,65,15701,6447,12
473,638,1245,58,2125,19502,17
474,639,691,89,21630,2725,11
475,641,703,66,7428,6272,20
476,643,823,94,9100,2127,21
477,644,1246,99,7999,18200,11
478,645,622,40,26376,2096,11
479,647,1287,55,14168,2886,16
480,648,448,74,14470,2033,18
481,649,254,83,22794,3622,13
482,650,1365,46,11512,4233,17
483,652,538,54,14004,3681,14
484,653,525,66,6219,5460,22
485,655,798,66,5013,2187,12
486,656,558,75,3010,9602,11
487,657,959,83,11757,2836,13
488,659,622,81,5718,4089,13
489,661,782,50,2671,16627,14
490,662,362,43,14561,2619,17
491,663,1001,72,19627,5679,13
492,664,1236,40,17997,15402,11
493,665,1112,50,26894,5985,11
494,666,204,31,2912,2579,18
495,667,1420,85,16346,3041,11
496,669,1343,49,24444,3447,11
497,671,1315,35,9358,19513,12
498,675,604,69,12145,2773,20
499,677,1216,39,20431,7104,12
500,679,646,92,18089,6322,12
501,680,160,71,22653,2083,20
502,682,238,34,7507,8381,20
503,683,1397,42,7660,2691,12
504,684,306,100,5630,4286,14
505,686,991,71,17759,2659,13
506,689,482,36,9606,9434,15
507,690,1176,62,3487,5561,14
508,691,1017,82,19368,6646,13
509,692,1296,30,5335,7725,23
510,698,397,88,6729,10725,15
511,699,913,48,13934,8847,11
512,700,1115,54,15174,2045,13
513,701,1362,32,26999,1009,11
514,702,1076,70,3164,3348,11
515,704,727,41,16900,1281,18
516,705,885,58,8544,2819,16
517,707,810,57,15678,4851,22
518,709,243,46,7791,4028,20
519,710,806,76,18959,2720,18
520,712,817,56,18597,8120,12
521,714,1410,71,16673,4647,20
522,715,1225,80,15232,4680,17
523,716,1207,74,3297,3221,11
524,717,1442,46,17654,8621,14
525,720,693,65,24785,4577,14
526,721,408,80,20978,4553,11
527,722,929,55,21703,5396,12
528,723,562,50,23452,6796,14
529,724,827,33,19383,7625,13
530,725,608,68,6009,7412,11
531,727,1018,39,19373,11159,15
532,728,703,42,11825,4960,12
533,729,580,48,23772,10475,21
534,730,970,59,13514,14814,19
535,731,427,73,8861,19141,15
536,732,1179,84,11924,5405,14
537,733,294,32,4809,8793,21
538,734,314,59,19562,19189,12
539,738,316,54,9983,3875,15
540,741,654,67,3872,2216,13
541,742,427,63,20335,11713,14
542,743,168,81,15397,7861,14
543,744,381,49,2104,3708,14
544,746,217,49,10225,13770,12
545,747,501,99,25275,5304,23
546,749,1396,99,2755,2642,11
547,752,933,57,20366,2759,12
548,754,775,47,23683,6804,18
549,757,970,96,7360,6142,11
550,758,650,37,4344,2500,14
551,760,141,44,18767,6389,15
552,762,832,81,20420,11103,11
553,763,804,86,22929,2342,20
554,764,975,55,23398,6811,19
555,766,1090,83,17967,2297,14
556,769,346,86,10919,2450,17
557,771,1225,61,4761,5093,11
558,772,430,80,21146,5309,15
559,773,268,92,20471,3057,13
560,775,167,32,4187,5121,14
561,776,621,31,10084,16856,11
562,780,527,63,5207,2686,13
563,781,883,32,22807,6180,23
564,783,954,46,12388,6632,13
565,784,310,79,19630,3505,18
566,785,719,77,10339,6397,12
567,786,304,60,18686,6274,22
568,787,725,78,21199,19859,13
569,789,1434,76,14229,7587,15
570,791,715,41,26589,4258,18
571,792,575,71,5288,4364,14
572,793,657,66,25549,4335,12
573,796,1146,38,3064,5326,17
574,797,182,72,13551,3280,16
575,799,376,95,22670,5485,11
576,800,829,84,24008,4342,19
577,802,571,82,19905,2782,13
578,803,240,75,26085,5980,12
579,804,121,86,7530,4381,11
580,805,384,72,20317,2572,16
581,806,921,38,24375,3833,21
582,807,791,38,9931,4244,24
583,808,1111,93,13305,6500,17
584,809,570,66,16225,18430,13
585,811,1243,63,3445,1601,21
586,812,1092,60,26551,2694,11
587,813,1325,82,21821,3149,20
588,815,691,64,6881,17639,16
589,816,805,36,6689,2319,11
590,817,213,49,25995,11691,11
591,819,118,69,26507,5324,15
592,820,202,33,12982,16752,11
593,823,676,35,23361,5228,15
594,824,1252,81,23779,2700,24
595,825,286,31,25761,19246,12
596,826,1258,40,13301,2506,13
597,827,932,43,4051,6062,13
598,828,890,46,16374,4382,17
599,829,1041,36,25527,2143,13
600,830,859,98,19124,6162,12
601,832,720,51,11983,5094,14
602,833,946,52,20234,6877,24
603,834,252,95,6153,2274,14
604,836,933,98,11806,4434,13
605,837,471,45,4284,6288,15
606,838,702,100,8306,2553,16
607,840,1184,43,5860,7654,18
608,842,436,37,21519,5160,16
609,843,589,94,5200,17159,24
610,844,269,42,8842,12808,16
611,845,950,59,18869,10221,21
612,846,760,81,3698,4779,20
613,847,829,88,2243,3737,19
614,848,887,88,20898,2366,14
615,850,443,50,16571,1706,11
616,851,1318,66,5594,16307,14
617,852,625,50,5197,5933,12
618,854,180,65,21632,3424,13
619,855,586,48,21816,4037,22
620,856,1343,53,17852,2559,11
621,857,928,56,2823,6201,14
622,859,117,73,9250,4403,11
623,861,1012,75,2373,3761,12
624,862,661,78,20715,10934,18
625,864,930,74,19239,10761,12
626,865,638,91,22162,5175,12
627,867,890,81,19028,13826,22
628,868,342,66,24558,6334,19
629,869,1169,63,23965,4936,13
630,872,1230,33,19146,4775,22
631,874,986,62,5044,2818,24
632,875,1271,35,9068,2515,14
633,878,1278,77,8635,2342,21
634,879,141,98,14363,4194,18
635,880,607,66,23457,10685,20
636,881,130,96,16612,2022,19
637,882,300,61,9148,2314,12
638,885,583,87,18154,4256,12
639,887,1418,36,10554,3580,16
640,888,1269,46,10778,3162,17
641,889,379,48,8891,6524,14
642,893,395,98,12102,2899,19
643,894,1265,95,23726,5231,13
644,895,1222,48,14871,2356,19
645,896,341,48,23522,2800,19
646,897,868,73,22789,11836,14
647,899,672,78,9129,10903,16
648,900,1231,54,21222,2973,15
649,901,102,72,20206,14275,18
650,902,422,33,21782,5562,13
651,903,249,35,17783,4537,22
652,904,1252,32,4814,7642,13
653,905,881,98,4544,17924,11
654,909,1383,42,7790,5204,11
655,910,1075,57,22650,2277,11
656,911,374,87,18016,2795,24
657,912,1086,62,6054,2532,14
658,913,661,61,7508,2559,13
659,916,821,98,24252,4908,14
660,918,781,57,13384,2380,14
661,920,177,55,23814,4765,21
662,922,500,49,22052,2044,13
663,923,1427,65,8870,2693,19
664,924,1425,68,4821,6586,17
665,925,1454,65,13137,3294,18
666,926,617,34,10022,4171,19
667,927,1085,57,17725,2778,13
668,930,995,77,9834,2377,18
669,932,1122,70,4303,2404,21
670,933,618,76,17808,2318,19
671,934,546,83,6896,2008,14
672,936,462,68,7824,6244,17
673,939,1198,100,3339,2799,11
674,940,1272,37,9255,10552,13
675,941,154,41,11737,2329,15
676,942,1137,51,19170,4014,25
677,944,527,51,22477,7403,11
678,945,1469,51,5543,2259,17
679,947,1188,45,24406,6932,13
680,949,188,65,23293,4678,18
681,950,1333,80,16292,13582,13
682,951,1184,70,3974,2332,20
683,952,867,36,18798,2413,18
684,954,658,67,20652,9705,12
685,956,1283,52,11148,4294,12
686,957,263,59,3119,4721,13
687,958,938,79,12287,2519,21
688,959,419,37,9947,2121,13
689,960,129,84,13008,2973,19
690,961,616,41,17369,5855,11
691,964,1469,35,25063,3617,14
692,966,498,93,13554,6725,12
693,967,530,51,5518,10325,11
694,969,1069,42,12291,6949,14
695,970,625,46,14922,10609,11
696,972,805,57,23163,4447,12
697,974,1404,84,18203,2157,15
698,975,1219,86,6179,4601,16
699,976,1053,70,13829,17099,15
700,977,289,51,26227,2479,24
701,981,1376,45,13938,14852,13
702,982,231,62,9977,7264,11
703,983,152,85,19899,5666,13
704,984,882,92,6812,7823,13
705,985,903,41,2560,7880,18
706,986,1479,100,17071,13194,16
707,987,1379,64,6759,5067,19
708,990,1229,84,25952,5079,13
709,991,335,46,10322,2321,22
710,992,722,38,20489,17444,11
711,994,906,92,11479,2404,20
712,995,461,53,17241,3452,18
713,996,974,91,11005,2270,14
714,997,1126,66,6615,17399,22
715,998,827,84,20161,5488,13
716,999,840,64,3735,19419,17
717,1001,1134,37,12086,2811,14
718,1002,248,42,14039,3633,15
719,1003,955,83,8571,4163,17
720,1004,138,48,11539,2132,11
721,1005,939,95,4161,13973,18
722,1006,1391,66,12127,2684,17
723,1007,566,75,24208,10845,13
724,1009,1206,41,24117,4377,15
725,1010,622,39,10074,3743,24
726,1011,853,96,11275,4148,12
727,1012,287,73,13493,1051,15
728,1013,1441,56,13943,10739,11
729,1014,583,57,6975,10388,11
730,1015,153,73,17802,11416,12
731,1016,1097,98,18275,2600,15
732,1017,109,60,25725,2422,17
733,1018,1066,32,3334,5472,12
734,1019,217,94,6881,2451,15
735,1022,277,97,13119,4240,13
736,1024,1355,78,22245,10999,14
737,1025,549,42,23371,5003,14
738,1026,466,65,7060,12742,16
739,1027,1055,47,4658,4227,18
740,1028,802,45,9541,3917,20
741,1029,265,90,7770,18303,13
742,1030,804,64,20165,2380,18
743,1032,715,69,21829,13726,13
744,1033,1141,61,14382,4777,15
745,1034,135,62,12992,6385,14
746,1035,247,55,20284,19973,22
747,1036,1035,42,4981,6861,12
748,1037,265,79,21813,4969,18
749,1038,266,57,25846,19845,15
750,1039,1448,53,11737,13320,18
751,1040,145,95,24920,6347,12
752,1042,885,43,8269,2743,16
753,1043,945,82,5083,10880,13
754,1044,1038,88,21437,2342,19
755,1045,1234,90,5404,17650,13
756,1046,1109,69,11135,4025,12
757,1047,216,75,12278,9725,11
758,1048,1089,66,11038,11904,14
759,1049,788,36,8318,2177,16
760,1050,124,38,23537,7525,12
761,1052,660,81,7858,4834,14
762,1053,342,57,15346,2042,14
763,1055,1333,87,18410,2220,19
764,1056,1144,74,23384,1052,22
765,1060,1186,44,2997,2821,16
766,1061,1464,62,12853,19237,11
767,1062,124,35,13848,4107,15
768,1066,300,74,22217,8396,14
769,1068,921,66,25265,2007,13
770,1069,430,40,21445,19627,17
771,1070,1082,41,8392,10686,11
772,1071,1240,63,12154,2942,19
773,1073,796,51,15669,8858,11
774,1074,444,40,17323,16756,15
775,1076,415,79,5268,10798,13
776,1077,769,54,17205,2323,14
777,1079,1334,36,17258,1416,13
778,1080,1003,74,21029,4615,23
779,1081,1323,34,10332,2461,12
780,1082,1366,72,12355,8722,12
781,1083,192,59,11141,3955,16
782,1084,1176,85,9096,9957,15
783,1085,509,43,18863,3376,13
784,1088,330,65,24608,8823,18
785,1092,1492,61,26542,10322,20
786,1094,1277,87,5869,4621,19
787,1096,1091,65,15813,10976,18
788,1097,857,59,7909,3660,13
789,1098,1376,91,2326,10482,14
790,1099,654,34,21214,7119,15
791,1100,1204,86,10333,9582,22
792,1101,827,54,3129,4508,22
793,1102,895,50,22482,2207,16
794,1103,618,45,22266,7756,17
795,1105,309,88,24223,6694,14
796,1106,1219,32,4605,3691,15
797,1107,1330,37,19373,2377,20
798,1108,1017,55,2993,2313,20
799,1109,469,35,14399,17665,17
800,1111,1009,45,7160,2596,15
801,1113,959,81,17251,4728,14
802,1114,970,30,13401,4302,17
803,1115,697,40,22478,2979,17
804,1116,1262,35,16154,16885,22
805,1117,1050,65,17970,5593,13
806,1118,994,87,15322,10445,19
807,1119,770,73,5569,8740,14
808,1120,1107,93,26968,2514,22
809,1121,950,93,8039,7655,17
810,1124,406,52,15596,17465,12
811,1125,130,32,20619,7351,16
812,1126,1082,83,11535,10820,11
813,1127,203,84,13547,12169,11
814,1128,1308,44,17544,19626,14
815,1131,984,70,25326,2070,11
816,1132,439,70,8770,6782,15
817,1133,217,78,23238,7779,20
818,1135,793,67,21981,2791,12
819,1136,1451,67,19911,3201,17
820,1137,1182,54,18500,4968,11
821,1138,174,56,11879,13120,17
822,1140,1003,95,15834,4033,11
823,1143,490,61,17940,3291,14
824,1148,188,56,9558,4272,19
825,1150,718,79,17689,5056,15
826,1152,433,37,6004,2844,13
827,1154,773,39,22088,2703,14
828,1156,247,80,13556,1904,12
829,1157,603,77,18385,8224,17
830,1158,167,46,9051,4766,11
831,1160,874,72,6233,2610,12
832,1161,367,52,17171,5731,13
833,1162,199,55,7950,2539,13
834,1163,1400,70,5829,5714,20
835,1164,528,100,7108,4323,17
836,1165,408,45,11162,7336,13
837,1166,593,88,13782,13499,17
838,1167,481,44,2447,13758,12
839,1171,647,45,2253,5155,13
840,1172,982,58,16340,2258,12
